"","logFC_limma","P.Value_limma","logFC_edgeR","FDR_edgeR","log2FoldChange_DESeq2","padj_DESeq2"
"Anxa2",-5.05552128343891,1.56982967778788e-08,-5.05552001783547,8.55747355750003e-162,-5.06890246135666,7.88307038268479e-296
"Krt8",5.11503230054496,4.48740923941704e-08,5.10178885180482,1.04360316275435e-155,5.08935019048588,2.46390061398986e-209
"Car2",9.56749223310723,8.3800386049961e-06,9.3840733228757,1.90115633166018e-262,9.38197328677246,2.3035803386035e-186
"Cfp",-3.70701294754712,5.22436111746192e-08,-3.7062389908499,1.44464231617179e-102,-3.71938839836688,3.29000770861268e-141
"Lifr",-6.0706159168216,2.62031527903862e-06,-6.05281201392258,2.43657706015279e-111,-6.06747285590219,2.54595416761706e-125
"Kcnk1",9.77867484685232,4.90252572531144e-05,9.66276503283389,3.63215209269149e-176,9.68462357584214,1.16018262916295e-87
"Cd200",3.35811133918897,3.01456494226149e-07,3.36359220020024,9.49865462532545e-68,3.35136297681633,1.97556203985236e-82
"Cyp51",2.78153957267673,1.01834331215488e-07,2.77230565555838,2.83808045696061e-65,2.75949454356772,4.63148208339646e-82
"C130026I21Rik",4.08106689688562,5.93504124940168e-07,4.10293608228698,5.88903723249228e-76,4.09157834685168,1.93223853064208e-79
"Tnfsf4",4.18279745245204,1.53480904419412e-06,4.20272573731067,2.27888245815829e-61,4.19080926766652,2.48650222009381e-79
"Tgtp2",3.01080129368398,2.16807279261507e-07,3.02309181031433,3.55652626311436e-65,3.0108183226999,1.55722045944196e-77
"Themis2",2.81289004165287,1.28313573625587e-07,2.80474575179425,1.12398699239643e-62,2.7918340537503,1.00497673929049e-76
"St3gal6",4.64819720305971,1.65558698123655e-06,4.69228530237854,1.85309852305785e-68,4.68194308863704,3.41900376934296e-76
"Cnn3",-4.15450903259547,6.53124508316464e-07,-4.11393532365382,2.0242925372204e-65,-4.1271792300194,1.80003765697485e-70
"Dgat2",4.05133473316668,3.14203104512235e-06,4.05588203155691,3.83763162490549e-55,4.04404758380554,2.99493582970855e-67
"Zcwpw1",-2.5965212753855,4.07261546305324e-07,-2.6052611256403,5.00460820383143e-55,-2.61792557535893,1.20737568704444e-64
"Stac2",-5.62235239509984,0.00044914327513477,-5.72773120125582,1.10198498585631e-57,-5.74363702857925,6.79899623137649e-64
"Adm",-4.72179932096008,1.93740559265928e-05,-4.6791288240875,5.00460820383143e-55,-4.69360505069432,1.71764513521056e-62
"H2-Ab1",-2.19176955187823,1.29734816545749e-07,-2.34725212579969,1.74935267733246e-24,-2.36039868155879,2.26398754985078e-61
"Gimap7",2.3615836028319,2.21532498730186e-07,2.3439344430065,1.96502839810659e-46,2.33172446074193,4.28812733316419e-60
"H2-Aa",-2.04841076008348,6.79427697741186e-07,-2.2448889374706,3.049568308845e-27,-2.25790631442402,5.13674185576807e-60
"Emb",-3.4316641698764,1.55743497479714e-06,-3.42990166906961,1.01108652656117e-51,-3.44281237094375,9.09481293812093e-60
"Kcnn4",-2.64589660044747,5.25947366754075e-07,-2.61784551339684,5.46715550771577e-49,-2.63085617031487,5.75235954975719e-58
"Sepp1",2.25120144379504,2.75693936973246e-07,2.23799787890395,7.8164873826585e-45,2.22535975187024,1.58516810593988e-56
"Cd74",-0.882762788138267,7.96827280808116e-06,-1.69096010881619,8.73450525658334e-10,-1.70372572285155,3.07382512996475e-51
"Pik3ip1",-2.85551710437111,2.28664025730366e-06,-2.83979323199494,1.95168308044326e-46,-2.85262053150584,2.45961001672747e-47
"Frrs1",-4.30698677140843,2.3441981256757e-05,-4.31864859648813,3.62254724991096e-33,-4.33326754146769,1.84657631565163e-43
"Apobec1",-2.24145550616101,8.12265994461296e-07,-2.22805844637598,6.5683739673387e-39,-2.24037303144863,7.18551999240535e-43
"Stk3",3.25300554123701,2.2709786757255e-06,3.22119520019853,1.84544552430621e-37,3.20949170236788,1.35524285910453e-42
"Hba-a1",-8.07062936535764,0.000144668413917221,-7.93709817877029,3.83763162490549e-55,-7.98387319453941,3.03317041474962e-42
"Gpr137b-ps",-2.53668545628061,3.76977066556577e-06,-2.58959389059194,2.19896465127087e-36,-2.60186876325359,8.00243217628161e-42
"Ly6k",-5.22999862364185,7.1542895061265e-05,-5.23854186500749,3.4457027226842e-31,-5.2568879452785,1.24733946942561e-41
"Tnfsf8",3.34442031249541,6.54010205053451e-06,3.37695013096142,1.36111962447564e-38,3.364431371283,4.13456198432374e-41
"Lgmn",-2.57405201844269,2.96141146576776e-06,-2.55154654659862,2.30081395351911e-37,-2.56452245277123,5.37108300949152e-40
"AW112010",2.40489639957346,1.46615051662895e-06,2.43256792444149,4.14477913403966e-37,2.41981763452394,1.05680938553029e-38
"Ikzf3",1.85310812397581,7.43639098379042e-07,1.82985212193349,2.4682712194959e-28,1.81753551271594,1.78618444974196e-38
"Dnaja1",-1.5298177576492,1.54096127196581e-06,-1.55828551366433,2.30801271167306e-18,-1.57085078494498,2.15314038635176e-37
"Kctd14",-2.93313452441023,4.24249482736723e-06,-2.91896204516738,4.73666409336123e-32,-2.93232975385593,2.34446923258441e-37
"Ctla4",2.92697867705709,2.76151170147633e-06,2.9483333530552,7.50883288684819e-39,2.93605764651106,1.17355391883673e-36
"Dpp4",-7.96995029170641,0.00125063361827196,-8.00107617269132,4.75420666938194e-46,-8.05419061715382,6.63603307535008e-36
"Ildr1",3.7495253198389,1.30292409687707e-05,3.7451866203764,4.40350027211094e-27,3.73498316026291,2.82975655155976e-35
"Sdc4",-2.96404918676261,2.21746416854114e-05,-2.98608425451504,8.91163666398247e-35,-2.99868655562164,1.8154850147785e-34
"Pear1",-3.59665726702568,3.19081835574493e-05,-3.58325959932338,1.30176406127609e-29,-3.5972520407883,2.72810704926778e-34
"A330023F24Rik",4.09979408116302,2.53719047521559e-05,4.11691645525412,7.2558225965863e-30,4.10606772691588,8.48211244491458e-34
"Hbb-b1",-7.19400617331778,0.000168171265144934,-7.16280721880674,9.76339041843393e-37,-7.20692705917911,1.07923144068945e-33
"Syn3",-3.81730883795201,2.62124870194519e-05,-3.76987460319705,4.0999108379343e-27,-3.78505543623386,1.76517260303572e-33
"Cd63",-5.81106333068785,0.000208636347474227,-5.86339432833993,3.21970556783523e-28,-5.88964228965225,1.80002574954416e-33
"Zcchc18",1.81368619803922,1.4766629121472e-06,1.83209341848957,3.02449113496687e-29,1.81936704807674,5.75605445740017e-33
"Pde2a",-2.75892104131536,6.8511336099472e-06,-2.75618828360932,6.17897530867996e-27,-2.7691279926747,2.49284578117524e-32
"Apoe",1.84670018337351,2.31660505218568e-06,1.80038422859206,1.4010308513765e-20,1.78725787192027,3.69633545620938e-32
"Rgcc",-4.82086998608882,9.10672666844958e-05,-4.77326146467955,3.32173353851333e-25,-4.78987153024825,4.20039650203913e-32
"Krt18",3.17198419194571,6.20669676084606e-06,3.19704760178882,6.99875458600076e-31,3.18499221033549,7.98425722189392e-32
"Kcnj5",3.30284911967411,2.0272933492519e-05,3.32993222318963,7.63639643957013e-28,3.31866291198328,1.25846828252891e-31
"Fam43a",-2.62599171291486,5.50119228606137e-06,-2.62013022931052,1.44654084885636e-31,-2.63287715808287,1.25846828252891e-31
"Ass1",-2.26297104795319,4.36532066360918e-06,-2.24858912056123,7.48806201262455e-28,-2.26163550665111,3.1487068029367e-31
"H2-DMb2",-1.41982852430912,8.0894645943392e-06,-1.55161396554575,1.35550600491092e-18,-1.56439366418152,4.52299344649152e-31
"Laptm5",1.89607209267487,2.23259982538006e-06,1.91572343689809,7.63639643957013e-28,1.90292819335424,6.09771716857815e-31
"Cplx2",-3.49384891903439,4.60918662433496e-05,-3.5139638646213,4.06139612855764e-24,-3.5279622229772,4.21976400173724e-30
"Stat1",1.729067211799,2.07908631931459e-06,1.75029228655175,6.11735124222991e-27,1.73753057549896,6.10523822515925e-30
"Cybb",1.45051563916105,2.32253505347973e-06,1.43820428759841,3.3816619323204e-19,1.42558703528755,3.06576394685656e-28
"Emp3",-1.52968456334946,2.88486568473058e-06,-1.53052399651071,4.59735946200432e-22,-1.54333402394025,5.2464806078161e-28
"Gng3",5.19354637403806,0.000113945839937674,4.96297251766875,1.8287280815759e-22,4.9584163630984,6.19571638997781e-28
"Ptprcap",1.55845359766278,2.23190547427277e-06,1.54176291177498,1.73430655581245e-20,1.52905098841259,8.46789470898033e-28
"Slc52a3",3.38117856492879,2.21439699929283e-05,3.42860679196291,4.94451052690859e-21,3.41618240485693,2.06963414523965e-27
"Pdia3",-1.26305562739774,3.27016643361835e-06,-1.29054657789337,5.21973232729793e-13,-1.30323274024017,2.53926214694963e-27
"Adamtsl4",-3.04389094108993,1.87289820770172e-05,-3.02714662663628,2.58585495005573e-20,-3.04115438932667,4.67270736641132e-27
"Bmyc",-3.14998823668291,2.47125703305334e-05,-3.15352321823242,8.85669052652899e-24,-3.16650776031188,2.497846824955e-26
"Ciita",-2.0068956842054,5.1318561068775e-06,-1.98338071036317,1.91582398289638e-23,-1.99645978240929,4.36802938204344e-26
"Ifi30",-2.12712333443536,1.24095609990626e-05,-2.09807310692338,8.1101356486697e-25,-2.1111643617824,6.04293006767961e-25
"Krt222",1.52498246796499,3.42233219855694e-06,1.52434543473,1.64273434782871e-21,1.51158889441676,9.43348025377079e-25
"Tnfrsf13b",1.56516498689177,3.10710082518702e-06,1.55289599636871,3.91151045002133e-22,1.54018871389403,1.52849633478954e-24
"Pigr",2.24184159468083,6.44577471960737e-06,2.23357488009312,1.64273434782871e-21,2.2212242124771,2.65419741916394e-24
"Gm5424",-2.80161916932414,8.71588470874788e-06,-2.72168261882963,7.94561690152669e-25,-2.73541811516278,3.91708950293783e-24
"Ms4a6c",1.97250354393752,3.81556211831212e-06,1.92165413799273,7.48073475813401e-25,1.90941905888189,6.20145707479783e-24
"Srpk3",-1.57871035943741,6.57614694354366e-06,-1.58410785888614,6.85363733685612e-22,-1.59714650248171,6.83066792269067e-24
"Herpud1",-1.7076595246156,1.04436322682011e-05,-1.70763156951172,4.64848169023572e-20,-1.72041484838205,8.09999378336772e-24
"Lax1",1.8577350815375,5.09503129742113e-06,1.87922724654545,1.64138090734128e-24,1.86670344622664,8.54666998792192e-24
"Plbd1",-1.80815558941002,5.56234855561364e-06,-1.78794225851052,5.87898738028243e-21,-1.80086031303454,1.3065192532428e-23
"Lgals1",-1.87807552413941,1.0387666427605e-05,-1.86681919344262,1.56470382694279e-23,-1.87999260404266,2.13373123615826e-23
"Hmces",1.55093360040604,4.27900702270875e-06,1.56847531459995,1.80901590898178e-21,1.55597358405211,2.38223989088035e-23
"Lgals3",-2.48646318626325,2.7604285950436e-05,-2.4608978044865,8.52100094812667e-22,-2.47454968034099,1.26837393608253e-22
"Vcl",2.80857661842868,2.23380313329757e-05,2.80999069437489,3.2482821808261e-18,2.7982395589245,5.23225805987731e-22
"Relt",-1.91294277386128,1.17387488072516e-05,-1.92343603581242,3.05017831928332e-22,-1.93572523932504,5.36827735665742e-22
"Bcar3",-1.77383212498805,9.88047857656652e-06,-1.7584184729408,1.51397125576435e-21,-1.77156895266427,5.36827735665742e-22
"Gbp7",-1.44062438304442,7.32990932069552e-06,-1.44499917031893,3.86403680683619e-19,-1.45756803176491,6.93429851531861e-22
"Cd300lf",-1.48472809168063,5.54360883335446e-06,-1.47023424483608,4.011034073311e-19,-1.48293613115709,8.05011737710648e-22
"Lck",2.0767563692693,7.01363359261337e-06,2.05450691347316,2.88964154272287e-22,2.04196876573984,9.51661422717733e-22
"F11r",1.9278744820908,7.2855051387558e-06,1.95046414293349,3.09797037945464e-21,1.93780628973833,1.54737330405555e-21
"Irf7",2.51145570120293,2.03806673939558e-05,2.49987060744788,8.71044218981904e-20,2.48822236708828,4.08345724582735e-21
"Cd24a",1.46581817125341,5.17677905404859e-06,1.46821643117963,2.92772531319349e-19,1.45555141605296,4.70918738226898e-21
"Lpin2",1.86971524025726,8.2365459031148e-06,1.88442839684674,6.02197360885161e-19,1.87165195563452,4.93781996896543e-21
"1110059E24Rik",1.28390017502556,5.50748636898277e-06,1.28182830625329,4.38552380782938e-15,1.26928431943941,4.99955579169163e-21
"Ptrf",-7.48096510706154,0.00795999687146462,-7.59266583210252,1.21104182913843e-24,-7.65521801242814,5.2575025282404e-21
"Add3",1.38682497136847,6.49359843844298e-06,1.36018220740355,6.78562665247229e-17,1.34719579190513,1.8229205485415e-20
"Sh3bgrl2",1.74092425079171,9.14383713128018e-06,1.76122272388188,1.68412292541877e-20,1.74826002373924,2.0584781203746e-20
"Nt5e",2.21979460611473,1.37815842964807e-05,2.24540012849299,1.09442009651183e-17,2.23303090262685,2.0584781203746e-20
"Hdc",3.41971886298565,6.37279660622875e-05,3.43687011727698,2.36419359749044e-15,3.42673256713224,2.73891224369145e-20
"Junb",-1.07431473420687,1.24720300624565e-05,-1.12885632812848,4.11442667228706e-11,-1.14146777173946,4.42613133841711e-20
"Ubtd2",3.0241570098881,1.35116152060606e-05,2.9205291749693,2.11450271251952e-19,2.908457506866,6.19775923801076e-20
"4930539E08Rik",3.02489523764392,5.1698341230994e-05,3.06075412696264,1.04329964038796e-20,3.04953511527715,6.30917288165794e-20
"H2-Eb1",-1.4048032003862,1.30689511666803e-05,-1.45278927440338,3.91062416794292e-13,-1.4659099822187,8.30780759842859e-20
"Cyp11a1",6.34145632548717,7.67737157757856e-07,6.32926277998318,3.44046532398151e-64,6.33011758079587,9.09270288224119e-20
"Pim2",1.4253315320454,6.55562490226449e-06,1.41056473828692,1.20836290063453e-17,1.39759008904401,1.00931284273724e-19
"Creb3l2",-4.40945285401537,0.000688328263249181,-4.36656332146173,2.35006100612566e-16,-4.38575706183298,1.2484353331059e-19
"Anxa4",-3.17462782477417,3.50378348680769e-05,-3.116615135402,4.34966297580484e-19,-3.13054558210174,1.65379611184015e-19
"Ftl1",-0.974417366864751,0.000186436261949549,-1.10471490573257,2.44905260403907e-07,-1.11757215972075,1.92208839948009e-19
"Chst3",1.79629443597668,1.07283998519912e-05,1.80523484886656,1.10611940324738e-17,1.79258278100707,2.03617408220953e-19
"Pitpnc1",-2.43431361079555,5.37733644418436e-05,-2.46635842345061,5.06705104357007e-17,-2.47941254158535,2.0623843947451e-19
"Gm8369",1.92983867709293,7.96802271757049e-06,1.89776603526252,5.27396120225783e-20,1.88532530259162,2.37545874192123e-19
"Irak3",-2.70090774099139,3.40912286270171e-05,-2.67617163944778,2.16767365879192e-16,-2.68893426206358,2.69680435748882e-19
"Ddit4",-2.20069910493362,1.88456340235761e-05,-2.19081401641145,7.07049617837874e-18,-2.20405343640515,4.48182658658123e-19
"Lfng",-5.14380381981768,0.000463725240735111,-5.09333604684594,1.20436926781385e-17,-5.11849755564596,4.9384212319768e-19
"Mgat4a",1.3290482156228,7.56028670296618e-06,1.30098978850671,1.8482161535809e-15,1.28859143091149,4.98269342717294e-19
"Carhsp1",-1.81843038237551,1.27819828782885e-05,-1.80500603961168,9.46598499275769e-16,-1.81793074579806,5.51449610193909e-19
"Rnase6",-1.49713894787319,9.16126254076198e-06,-1.48641577206024,3.84434633325488e-17,-1.4989669956911,6.32653121512632e-19
"Gbp10",3.50809124768346,6.49967500464051e-05,3.53961099653692,5.57663242393177e-17,3.52811088061841,7.64306764372275e-19
"Nrros",-1.22548964667402,1.33826220144065e-05,-1.2467792567812,2.12975906379095e-14,-1.25953418303978,8.71171851606553e-19
"Gm1966",-2.89778802065113,5.26052878004068e-05,-2.8822635650371,3.65759765789562e-14,-2.89655657126618,1.28044475330067e-18
"Ctsb",-1.1340955239262,1.65034234963117e-05,-1.22153529694005,4.53684536802922e-12,-1.23395122681699,1.28365919449558e-18
"Ifi204",4.19722423555734,0.000163934543418764,4.13271304900642,6.11172836999084e-16,4.12596127050063,1.44945221104176e-18
"Hsp90b1",-1.17793671150287,1.22924665542529e-05,-1.210869020457,5.595529003096e-13,-1.22346497001687,1.79925029833488e-18
"Dusp14",2.91322189957115,2.68419122343371e-05,2.8479654332976,3.65433846257784e-16,2.83696631910074,2.31523068648119e-18
"Unc119",1.97160444531342,2.99202107298608e-05,2.00185466490602,3.84434633325488e-17,1.98891251948173,2.32296944133716e-18
"Sdcbp2",9.5590367407222,0.000667139430642677,9.80945883000742,1.08577484254409e-47,9.98153356164117,2.43802602096032e-18
"Iigp1",8.5102424597841,0.000565730379457567,8.50713021093775,1.06841436281061e-31,8.61895749030311,2.55572380050707e-18
"Dusp10",-1.95994318688952,1.6402155679897e-05,-1.95170574866636,2.49974177777596e-16,-1.96420480056519,2.98619713678016e-18
"Tubb2a",-2.32045860354639,7.24905732803898e-05,-2.29502810592781,5.95094411575103e-19,-2.30876436964665,3.13508159864956e-18
"Lat2",-1.26731908935253,1.12859165348296e-05,-1.29244923457927,1.36884563169564e-15,-1.30489550850707,5.78912432051015e-18
