"","logFC_limma","P.Value_limma","logFC_edgeR","FDR_edgeR","log2FoldChange_DESeq2","padj_DESeq2"
"Gpr137b-ps",5.35366887243389,4.62225512726345e-10,5.34522726079025,0,5.3451625272478,0
"Ctse",-3.68528764804618,4.67446314073507e-09,-3.67478081148971,3.13879653459163e-157,-3.67558517090335,4.50455713732495e-191
"C130026I21Rik",3.23825296130231,5.077924899431e-07,3.24155906066181,1.38853754192408e-40,3.24147978248302,9.35628593350598e-60
"Adm",-2.16214339016136,2.16869970162858e-07,-2.17354523323756,1.45823272936359e-46,-2.1741634860029,2.10664621138503e-52
"Fcgr2b",2.20467409723657,2.3740510678792e-07,2.17787336541054,6.69113862204556e-41,2.17728631856586,7.370469055809e-45
"Pde2a",-3.56639650590552,1.21890193604729e-06,-3.47911960149621,3.25568998342786e-32,-3.48030817738125,1.77270595592249e-44
"Hbb-b1",-5.69144176421388,0.000449243760822573,-5.62858006686185,7.33305044618433e-32,-5.63546136611941,2.35377770748368e-44
"Lmna",-1.2016852023609,1.33900296329873e-07,-1.23235064361032,1.79692840443311e-25,-1.23286068930346,1.65675815949536e-43
"Hepacam2",1.25795591781204,3.26483847552306e-07,1.28432397621342,1.10696337890616e-29,1.28389884851996,1.55020354699884e-40
"Gpr137b",-1.38949933260266,2.75761045299495e-07,-1.37867420631102,8.29528521027988e-37,-1.37919876380195,2.07432913853869e-39
"Ero1lb",2.71573440596976,1.27732235760814e-06,2.70866273411465,3.05894904567285e-29,2.70822735678605,3.25061357338119e-39
"Cd72",1.717306518771,3.38698071950525e-07,1.72284490693852,3.69153631623456e-35,1.72233357892459,1.47065996355501e-37
"Cd244",-2.2951125518483,1.10858428411618e-06,-2.29906453008609,1.09645823430453e-25,-2.29970818908755,1.11487396898555e-35
"Ccnd2",-1.01510867048218,1.36399943034526e-07,-1.00438931934961,3.49045610968044e-11,-1.00488450142479,2.51626428203695e-33
"Dnase1l3",-1.10666373414377,1.17722332531877e-07,-1.04148503170943,3.22144086109909e-06,-1.04186819396431,5.77047671673106e-33
"Dnaja1",-1.024024491276,3.66898713228483e-07,-1.0564998166604,1.93842161354371e-17,-1.05701904527213,1.58490878307056e-32
"Serpinb1a",1.70383742819113,6.17501304549592e-07,1.69118533488073,2.57913898809651e-29,1.69062085639217,1.6591471852857e-31
"Pik3c2b",1.74381981775656,9.05399872931312e-07,1.74368007096264,5.70434119322041e-27,1.74335304614628,4.40503472892496e-30
"Wdfy1",-1.38607517480104,7.52439030338932e-07,-1.37717368400582,5.35429843897668e-30,-1.37764372247399,1.41275253897562e-29
"Rcn3",1.7575834311251,1.38700957957603e-06,1.75139249628928,2.18884839683909e-28,1.75095987154201,1.77262922201929e-29
"Irf8",1.08639733303004,6.26534711412722e-07,1.11056072179212,8.7282428325473e-24,1.11008139004283,2.6970207555013e-29
"Anxa2",-1.0153263975555,4.32096531347426e-07,-0.996272984143031,8.14358854999406e-14,-0.99673652334779,3.01686186037772e-29
"Tmem254b",-2.21734740606485,4.33626989760079e-06,-2.22487003485972,5.32593523727841e-19,-2.22563087380502,1.39106671232534e-24
"Scn4a",2.29247859353005,7.60219248341898e-06,2.31424615942398,3.42446908500262e-19,2.31437750890319,2.01675696135076e-24
