"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0006909" "BP" "GO:0006909" "phagocytosis" "11/160" "240/28564" 1.21043499824447e-07 0.000294619878572703 0.000248330295955628 "Fcer1g/Pear1/Fcgr2b/Elmo1/Anxa1/Cd36/Sirpa/Axl/Il15ra/Il2rb/Rab20" 11
"GO:0050766" "BP" "GO:0050766" "positive regulation of phagocytosis" "6/160" "91/28564" 1.26519794034265e-05 0.0153974589339701 0.0129782672933044 "Fcer1g/Fcgr2b/Cd36/Sirpa/Il15ra/Il2rb" 6
"GO:0006911" "BP" "GO:0006911" "phagocytosis, engulfment" "5/160" "65/28564" 3.26186910909107e-05 0.0220861667768976 0.0186160701674408 "Fcer1g/Fcgr2b/Elmo1/Cd36/Sirpa" 5
"GO:2000106" "BP" "GO:2000106" "regulation of leukocyte apoptotic process" "6/160" "120/28564" 6.06734256418424e-05 0.0220861667768976 0.0186160701674408 "Fcer1g/Hsh2d/Fcgr2b/Anxa1/Serpinb9/Axl" 6
"GO:0099024" "BP" "GO:0099024" "plasma membrane invagination" "5/160" "74/28564" 6.10878561552313e-05 0.0220861667768976 0.0186160701674408 "Fcer1g/Fcgr2b/Elmo1/Cd36/Sirpa" 5
"GO:0032680" "BP" "GO:0032680" "regulation of tumor necrosis factor production" "7/160" "185/28564" 8.64599422088302e-05 0.0220861667768976 0.0186160701674408 "Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2/Oas1a" 7
"GO:2000107" "BP" "GO:2000107" "negative regulation of leukocyte apoptotic process" "5/160" "81/28564" 9.41504196230751e-05 0.0220861667768976 0.0186160701674408 "Fcer1g/Hsh2d/Fcgr2b/Serpinb9/Axl" 5
"GO:1903555" "BP" "GO:1903555" "regulation of tumor necrosis factor superfamily cytokine production" "7/160" "188/28564" 9.55996450766389e-05 0.0220861667768976 0.0186160701674408 "Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2/Oas1a" 7
"GO:0010324" "BP" "GO:0010324" "membrane invagination" "5/160" "82/28564" 9.98142294765297e-05 0.0220861667768976 0.0186160701674408 "Fcer1g/Fcgr2b/Elmo1/Cd36/Sirpa" 5
"GO:0032640" "BP" "GO:0032640" "tumor necrosis factor production" "7/160" "192/28564" 0.000108995015253091 0.0221078222605019 0.0186343232217784 "Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2/Oas1a" 7
