"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0031349" "BP" "GO:0031349" "positive regulation of defense response" "25/410" "452/28564" 1.1793649989282e-08 2.55011499037848e-05 2.07287751089884e-05 "Gprc5b/Ccr2/Nod1/Pde2a/Ifi204/Slc15a2/Cd14/Lrrfip2/Alox5ap/Arg1/Adam8/Cdk19/Lgr4/Clec7a/Tnfrsf1a/Lag3/Fcer1g/Cd36/Sh2d1b1/Esr1/Hspa1a/Mapkapk2/Osm/Scimp/Oas1a" 25
"GO:0035455" "BP" "GO:0035455" "response to interferon-alpha" "8/410" "32/28564" 1.30976630219747e-08 2.55011499037848e-05 2.07287751089884e-05 "Ifi204/Ifitm2/Ifitm3/Ifitm6/Ifit1/Ifnar1/Axl/Oas1a" 8
"GO:1903555" "BP" "GO:1903555" "regulation of tumor necrosis factor superfamily cytokine production" "15/410" "188/28564" 1.02657146683426e-07 0.000133248976395087 0.000108312294763882 "Ccr2/Nod1/Errfi1/Cd14/Lrrfip2/Adam8/Clec7a/Tnfrsf1a/Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2/Oas1a" 15
"GO:0071706" "BP" "GO:0071706" "tumor necrosis factor superfamily cytokine production" "15/410" "195/28564" 1.65656159380306e-07 0.000161266271156728 0.000131086334541205 "Ccr2/Nod1/Errfi1/Cd14/Lrrfip2/Adam8/Clec7a/Tnfrsf1a/Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2/Oas1a" 15
"GO:0007264" "BP" "GO:0007264" "small GTPase mediated signal transduction" "21/410" "428/28564" 1.24033895981607e-06 0.000603734988690474 0.000490749901600912 "Arhgef10/Rasgef1b/Cyth3/Hmox1/Itsn1/Rhebl1/Cyth2/Plekhg5/Ssx2ip/Rapgef4/Lpar2/Dok2/Shtn1/Dock6/Elmo1/Ngfr/Rangrf/Gpr35/Dlc1/Eps8l1/Arl6" 21
"GO:0045088" "BP" "GO:0045088" "regulation of innate immune response" "19/410" "385/28564" 3.66268323241543e-06 0.00142624885070257 0.00115933562946034 "Nod1/Ifi204/Slc15a2/Cd14/Lrrfip2/Arg1/Adam8/Lgr4/Clec7a/Lag3/Cd36/Sh2d1b1/Esr1/Serpinb9/Myo1f/Hspa1a/Mapkapk2/Scimp/Oas1a" 19
"GO:1901214" "BP" "GO:1901214" "regulation of neuron death" "19/410" "405/28564" 7.55380399495804e-06 0.00229554667333761 0.00186595000316984 "Ddit4/Cd200r1/Sorl1/Hmox1/Itsn1/Mapt/Nsmf/Thap11/Adam8/Tmem259/Tnfrsf1a/Gclc/Jun/Mag/Fcgr2b/Ngfr/Esr1/Axl/Trpm2" 19
"GO:0035457" "BP" "GO:0035457" "cellular response to interferon-alpha" "5/410" "20/28564" 7.71821681592017e-06 0.00229554667333761 0.00186595000316984 "Ifi204/Ifit1/Ifnar1/Axl/Oas1a" 5
"GO:0002833" "BP" "GO:0002833" "positive regulation of response to biotic stimulus" "17/410" "335/28564" 8.25312106490151e-06 0.00229554667333761 0.00186595000316984 "Nod1/Ifi204/Slc15a2/Cd14/Lrrfip2/Arg1/Adam8/Lgr4/Clec7a/Lag3/Cd36/Sh2d1b1/Esr1/Hspa1a/Mapkapk2/Scimp/Oas1a" 17
"GO:0042391" "BP" "GO:0042391" "regulation of membrane potential" "21/410" "488/28564" 9.46778981870414e-06 0.00238329112812105 0.00193727365238289 "Pid1/Cnr2/Ehd3/Rnf122/Slc4a11/Mapt/Kctd7/Gabbr1/Rapgef4/Stox1/Shtn1/Kcnj5/Cacnb4/Gclc/Jun/Hsh2d/Slc34a1/Cd36/Ngfr/Rangrf/Gpr35" 21
"GO:0006909" "BP" "GO:0006909" "phagocytosis" "14/410" "240/28564" 1.10167540591112e-05 0.00238329112812105 0.00193727365238289 "Ccr2/Ptk2/Clec7a/Fcer1g/Pear1/Fcgr2b/Elmo1/Anxa1/Cd36/Sirpa/Axl/Il15ra/Il2rb/Rab20" 14
"GO:0002718" "BP" "GO:0002718" "regulation of cytokine production involved in immune response" "10/410" "127/28564" 1.56543636583483e-05 0.00320832063608465 0.00260790423937138 "Gprc5b/Ccr2/Nod1/Hmox1/Arg1/Fcer1g/Cd36/Axl/Mapkapk2/Scimp" 10
"GO:0019221" "BP" "GO:0019221" "cytokine-mediated signaling pathway" "19/410" "429/28564" 1.68973674014852e-05 0.00328991743306916 0.00267423072506663 "Ccr2/Il21r/Ccl9/Ifitm2/Ifitm3/Ifitm6/Arg1/Tnfrsf1a/Bbs2/Fcer1g/Ifnar1/Ccl22/Axl/Hspa1a/Gpr35/Il15ra/Osm/Il2rb/Oas1a" 19
"GO:0002764" "BP" "GO:0002764" "immune response-regulating signaling pathway" "18/410" "402/28564" 2.43193074539797e-05 0.00430451741935441 0.00349895490498168 "Ctla4/Nod1/Slc15a2/Cd14/Lrrfip2/Lgr4/Clec7a/Pram1/Cacnb4/Fcer1g/Cd36/Sh2d1b1/Esr1/Hspa1a/Mapkapk2/Scimp/Nfatc2/Oas1a" 18
"GO:0050866" "BP" "GO:0050866" "negative regulation of cell activation" "13/410" "227/28564" 2.74185732355804e-05 0.00441514301238631 0.00358887763583533 "Ccr2/Cnr2/Ctla4/Serpine2/Hmox1/Arg1/Lag3/Gclc/Fcgr2b/Anxa1/Slfn1/Axl/Zbtb46" 13
"GO:0001818" "BP" "GO:0001818" "negative regulation of cytokine production" "15/410" "296/28564" 2.83458077323209e-05 0.00441514301238631 0.00358887763583533 "Cd200r1/Errfi1/Hmox1/Mapkbp1/Arg1/Lgr4/Tnfrsf1a/Lag3/Fcgr2b/Anxa1/Ffar4/Sh2d1b1/Sirpa/Axl/Oas1a" 15
"GO:0030595" "BP" "GO:0030595" "leukocyte chemotaxis" "13/410" "230/28564" 3.14366389623942e-05 0.00470824123536782 0.00382712442752711 "Ccr2/Cnr2/Ccl9/Bst1/Ptk2/Adam8/Dusp1/Fcer1g/Ccl22/Anxa1/Trpm2/Gpr35/Ccr6" 13
"GO:0070997" "BP" "GO:0070997" "neuron death" "19/410" "461/28564" 4.49421275752394e-05 0.0056453111218704 0.0045888277629455 "Ddit4/Cd200r1/Sorl1/Hmox1/Itsn1/Mapt/Nsmf/Thap11/Adam8/Tmem259/Tnfrsf1a/Gclc/Jun/Mag/Fcgr2b/Ngfr/Esr1/Axl/Trpm2" 19
"GO:0050766" "BP" "GO:0050766" "positive regulation of phagocytosis" "8/410" "91/28564" 5.06178910100543e-05 0.00615956461228599 0.00500684204826426 "Ptk2/Clec7a/Fcer1g/Fcgr2b/Cd36/Sirpa/Il15ra/Il2rb" 8
"GO:0097529" "BP" "GO:0097529" "myeloid leukocyte migration" "13/410" "242/28564" 5.31079510116267e-05 0.00626673821937195 0.00509395880995093 "Ccr2/Cd200r1/Ccl9/Bst1/Ptk2/Adam8/Dusp1/Fcer1g/Ccl22/Anxa1/Sirpa/Myo1f/Gpr35" 13
