"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0035455" "BP" "GO:0035455" "response to interferon-alpha" "6/242" "32/28564" 2.61911448286016e-07 0.000816377984307511 0.000708263695417658 "Ifi204/Ifitm2/Ifitm3/Ifitm6/Ifit1/Ifit3" 6
"GO:0002246" "BP" "GO:0002246" "wound healing involved in inflammatory response" "4/242" "11/28564" 1.5828912082748e-06 0.00187968565291207 0.00163075576797228 "Ccr2/Clec10a/Hmox1/Tlr4" 4
"GO:0031349" "BP" "GO:0031349" "positive regulation of defense response" "16/242" "452/28564" 1.80912959856792e-06 0.00187968565291207 0.00163075576797228 "Gprc5b/Ccr2/Nod1/Pde2a/Ifi204/Slc15a2/Cd14/Lrrfip2/Alox5ap/Adam8/Lgr4/Tnfrsf1a/Clec7a/Lag3/Cdk19/Tlr4" 16
"GO:1903557" "BP" "GO:1903557" "positive regulation of tumor necrosis factor superfamily cytokine production" "8/242" "116/28564" 6.83746495561008e-06 0.00532809456665916 0.00462248617656903 "Ccr2/Nod1/Cd14/Lrrfip2/Adam8/Tnfrsf1a/Clec7a/Tlr4" 8
"GO:0007264" "BP" "GO:0007264" "small GTPase mediated signal transduction" "14/242" "428/28564" 1.94894418775544e-05 0.0113695822808374 0.00986388966430988 "Arhgef10/Rasgef1b/Cyth3/Hmox1/Itsn1/Rhebl1/Cyth2/Plekhg5/Shtn1/Rapgef4/Dok2/Lpar2/Dock6/Vav3" 14
"GO:0098885" "BP" "GO:0098885" "modification of postsynaptic actin cytoskeleton" "4/242" "20/28564" 2.18856251796677e-05 0.0113695822808374 0.00986388966430988 "Sptb/Ptk2/Itsn1/Pfn2" 4
"GO:0035456" "BP" "GO:0035456" "response to interferon-beta" "6/242" "71/28564" 3.14198666684187e-05 0.0120044764439667 0.0104147037416377 "Ifi204/Ifitm2/Ifitm3/Ifitm6/Ifit1/Ifit3" 6
"GO:0071706" "BP" "GO:0071706" "tumor necrosis factor superfamily cytokine production" "9/242" "195/28564" 4.60916239628126e-05 0.0137664724664107 0.0119433557118718 "Ccr2/Nod1/Errfi1/Cd14/Lrrfip2/Adam8/Tnfrsf1a/Clec7a/Tlr4" 9
"GO:0006195" "BP" "GO:0006195" "purine nucleotide catabolic process" "5/242" "49/28564" 5.89234820519332e-05 0.0141280379658366 0.0122570384932321 "Pde2a/Nudt15/Xdh/Nt5e/Nudt7" 5
"GO:0031331" "BP" "GO:0031331" "positive regulation of cellular catabolic process" "13/242" "438/28564" 0.000103082535445821 0.0189122146377165 0.0164076387228927 "Nod1/Mex3d/Cpt1a/Trib1/Hmox1/Socs4/Upf1/Ptk2/Foxo3/Aurka/Adam8/Zfp36l2/Gclc" 13
"GO:0072523" "BP" "GO:0072523" "purine-containing compound catabolic process" "5/242" "55/28564" 0.000103146502676028 0.0189122146377165 0.0164076387228927 "Pde2a/Nudt15/Xdh/Nt5e/Nudt7" 5
"GO:0048193" "BP" "GO:0048193" "Golgi vesicle transport" "10/242" "279/28564" 0.000145358654847568 0.0251712737311039 0.021837800251661 "Ehd3/Trappc10/Sorl1/Creb3l2/Cyth3/Cog5/Cnst/Sec31b/Sec24d/Bbs2" 10
"GO:0030166" "BP" "GO:0030166" "proteoglycan biosynthetic process" "5/242" "60/28564" 0.000156463471035323 0.0256682441693211 0.022268956071454 "Extl3/Tcf7l2/Csgalnact2/Hs3st1/B3gat2" 5
"GO:1901214" "BP" "GO:1901214" "regulation of neuron death" "12/242" "405/28564" 0.000192828689540588 0.0273203193317278 0.0237022441832426 "Ddit4/Cd200r1/Sorl1/Hmox1/Itsn1/Nsmf/Thap11/Adam8/Tnfrsf1a/Tmem259/Gclc/Tlr4" 12
"GO:0098792" "BP" "GO:0098792" "xenophagy" "3/242" "14/28564" 0.000204040575282935 0.0276519336155178 0.0239899422380714 "Lgals8/Nod1/Wipi2" 3
"GO:0006790" "BP" "GO:0006790" "sulfur compound metabolic process" "10/242" "299/28564" 0.00025366072111112 0.0304100179885908 0.0263827689285209 "Extl3/Dpep2/Tcf7l2/Dip2a/Csgalnact2/Xdh/Hs3st1/Arsg/Nudt7/Gclc" 10
"GO:0042391" "BP" "GO:0042391" "regulation of membrane potential" "13/242" "488/28564" 0.000295401689049481 0.0316692923205307 0.0274752754745432 "Pid1/Cnr2/Ehd3/Rnf122/Slc4a11/Kctd7/Gabbr1/Shtn1/Rapgef4/Stox1/Kcnj5/Cacnb4/Gclc" 13
"GO:0045089" "BP" "GO:0045089" "positive regulation of innate immune response" "10/242" "306/28564" 0.000304805508378544 0.0316692923205307 0.0274752754745432 "Nod1/Ifi204/Slc15a2/Cd14/Lrrfip2/Adam8/Lgr4/Clec7a/Lag3/Tlr4" 10
"GO:1900744" "BP" "GO:1900744" "regulation of p38MAPK cascade" "4/242" "41/28564" 0.000397877344442004 0.0400059252459912 0.0347078742910529 "Ccr2/Rell1/Xdh/Dusp1" 4
"GO:0030261" "BP" "GO:0030261" "chromosome condensation" "4/242" "42/28564" 0.000436855488730803 0.0412629866173913 0.0357984609425656 "Dffb/Ncaph/Cdca5/H1f0" 4
"GO:0036064" "CC" "GO:0036064" "ciliary basal body" "8/246" "183/28585" 0.000196907288534389 0.0421718944395299 0.036307836343325 "Ahi1/Tapt1/Ptk2/Ift80/Aurka/Hdac6/Bbs2/Jade1" 8
"GO:0031252" "CC" "GO:0031252" "cell leading edge" "12/246" "412/28585" 0.000260320336046481 0.0421718944395299 0.036307836343325 "Pacsin1/Lima1/Cyth3/Wls/Ptk2/Itsn1/Cyth2/Plekhg5/Scyl3/Gabbr1/Shtn1/Hdac6" 12
"GO:0030135" "CC" "GO:0030135" "coated vesicle" "8/246" "205/28585" 0.000422661916971113 0.0440902521144506 0.0379594438282307 "Pacsin1/Ctla4/Lyz1/Scamp1/Sec31b/Sec24d/Trf/Lyz2" 8
"GO:0030139" "CC" "GO:0030139" "endocytic vesicle" "8/246" "213/28585" 0.000544324100178402 0.0440902521144506 0.0379594438282307 "Ctla4/Ehd3/Nod1/Itsn1/Plekhg5/Adam8/Lpar2/Trf" 8
