"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0006909" "BP" "GO:0006909" "phagocytosis" "10/145" "240/28564" 4.44852259452673e-07 0.00103917487808145 0.000850838479395271 "Fcer1g/Pear1/Fcgr2b/Elmo1/Anxa1/Cd36/Sirpa/Axl/Il15ra/Il2rb" 10
"GO:0050766" "BP" "GO:0050766" "positive regulation of phagocytosis" "6/145" "91/28564" 7.20958420353927e-06 0.00842079434973386 0.00689463920938466 "Fcer1g/Fcgr2b/Cd36/Sirpa/Il15ra/Il2rb" 6
"GO:0006911" "BP" "GO:0006911" "phagocytosis, engulfment" "5/145" "65/28564" 2.03338926467561e-05 0.0158333244076074 0.0129637483997038 "Fcer1g/Fcgr2b/Elmo1/Cd36/Sirpa" 5
"GO:2000106" "BP" "GO:2000106" "regulation of leukocyte apoptotic process" "6/145" "120/28564" 3.5022829953514e-05 0.0171502615268035 0.0140420084689086 "Fcer1g/Hsh2d/Fcgr2b/Anxa1/Serpinb9/Axl" 6
"GO:0099024" "BP" "GO:0099024" "plasma membrane invagination" "5/145" "74/28564" 3.82297810317205e-05 0.0171502615268035 0.0140420084689086 "Fcer1g/Fcgr2b/Elmo1/Cd36/Sirpa" 5
"GO:0034614" "BP" "GO:0034614" "cellular response to reactive oxygen species" "6/145" "146/28564" 0.000104349333516849 0.0243760043095359 0.0199581830526436 "Jun/Anxa1/Cd36/Sirpa/Axl/Trpm2" 6
"GO:0071887" "BP" "GO:0071887" "leukocyte apoptotic process" "6/145" "152/28564" 0.000130149764347255 0.0276390772286535 0.0226298681166472 "Fcer1g/Hsh2d/Fcgr2b/Anxa1/Serpinb9/Axl" 6
"GO:0070374" "BP" "GO:0070374" "positive regulation of ERK1 and ERK2 cascade" "7/145" "228/28564" 0.00017106503699694 0.0333006605354043 0.0272653659845123 "Jun/Ccl22/Ffar4/Cd36/Esr1/Scimp/Dstyk" 7
"GO:0010977" "BP" "GO:0010977" "negative regulation of neuron projection development" "6/145" "165/28564" 0.00020340684105684 0.0350689337030153 0.0287131635446913 "Bcl11a/Mag/Sema4a/Ngfr/Trim46/Il15ra" 6
"GO:0032675" "BP" "GO:0032675" "regulation of interleukin-6 production" "6/145" "170/28564" 0.000238977645271079 0.0350689337030153 0.0287131635446913 "Fcer1g/Cd36/Sirpa/Cd300ld/Mapkapk2/Scimp" 6
"GO:0002237" "BP" "GO:0002237" "response to molecule of bacterial origin" "9/145" "414/28564" 0.000277127176242077 0.0350689337030153 0.0287131635446913 "Ifnar1/Fcgr2b/Cd36/Sirpa/Axl/Mrc1/Cmpk2/Mapkapk2/Scimp" 9
"GO:0042759" "BP" "GO:0042759" "long-chain fatty acid biosynthetic process" "3/145" "26/28564" 0.000305776326779585 0.0350689337030153 0.0287131635446913 "Gstm4/Elovl6/Gstm1" 3
"GO:0032635" "BP" "GO:0032635" "interleukin-6 production" "6/145" "179/28564" 0.000315198755713818 0.0350689337030153 0.0287131635446913 "Fcer1g/Cd36/Sirpa/Cd300ld/Mapkapk2/Scimp" 6
"GO:0019221" "BP" "GO:0019221" "cytokine-mediated signaling pathway" "9/145" "429/28564" 0.000359228688200731 0.0350689337030153 0.0287131635446913 "Fcer1g/Ifnar1/Ccl22/Axl/Hspa1a/Gpr35/Il15ra/Osm/Il2rb" 9
"GO:0032680" "BP" "GO:0032680" "regulation of tumor necrosis factor production" "6/145" "185/28564" 0.000375776915118536 0.0350689337030153 0.0287131635446913 "Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2" 6
"GO:0002224" "BP" "GO:0002224" "toll-like receptor signaling pathway" "4/145" "68/28564" 0.000403170424813697 0.0350689337030153 0.0287131635446913 "Cd36/Esr1/Mapkapk2/Scimp" 4
"GO:0032652" "BP" "GO:0032652" "regulation of interleukin-1 production" "5/145" "122/28564" 0.000404867726216013 0.0350689337030153 0.0287131635446913 "Ifnar1/Ffar4/Anxa1/Cd36/Sirpa" 5
"GO:1903555" "BP" "GO:1903555" "regulation of tumor necrosis factor superfamily cytokine production" "6/145" "188/28564" 0.000409294751992277 0.0350689337030153 0.0287131635446913 "Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2" 6
"GO:0061082" "BP" "GO:0061082" "myeloid leukocyte cytokine production" "4/145" "69/28564" 0.000426305852014272 0.0350689337030153 0.0287131635446913 "Fcer1g/Cd36/Axl/Mapkapk2" 4
"GO:0000302" "BP" "GO:0000302" "response to reactive oxygen species" "6/145" "191/28564" 0.000445104146006723 0.0350689337030153 0.0287131635446913 "Jun/Anxa1/Cd36/Sirpa/Axl/Trpm2" 6
"GO:0050771" "BP" "GO:0050771" "negative regulation of axonogenesis" "4/145" "70/28564" 0.000450373206359432 0.0350689337030153 0.0287131635446913 "Bcl11a/Mag/Sema4a/Trim46" 4
"GO:0032649" "BP" "GO:0032649" "regulation of type II interferon production" "5/145" "125/28564" 0.00045254911287978 0.0350689337030153 0.0287131635446913 "Ifnar1/Sh2d1b1/Sirpa/Axl/Slc7a5" 5
"GO:0032886" "BP" "GO:0032886" "regulation of microtubule-based process" "7/145" "268/28564" 0.000454784729886827 0.0350689337030153 0.0287131635446913 "Mid1/Rangrf/Hspa1a/Tpx2/Trim46/Ccr6/Bicd1" 7
"GO:0032640" "BP" "GO:0032640" "tumor necrosis factor production" "6/145" "192/28564" 0.000457568338394334 0.0350689337030153 0.0287131635446913 "Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2" 6
"GO:0070371" "BP" "GO:0070371" "ERK1 and ERK2 cascade" "8/145" "353/28564" 0.000461481343592169 0.0350689337030153 0.0287131635446913 "Jun/Ccl22/Ffar4/Cd36/Esr1/Sirpa/Scimp/Dstyk" 8
"GO:0002718" "BP" "GO:0002718" "regulation of cytokine production involved in immune response" "5/145" "127/28564" 0.000486608466613503 0.0350689337030153 0.0287131635446913 "Fcer1g/Cd36/Axl/Mapkapk2/Scimp" 5
"GO:0071706" "BP" "GO:0071706" "tumor necrosis factor superfamily cytokine production" "6/145" "195/28564" 0.000496600640615457 0.0350689337030153 0.0287131635446913 "Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2" 6
"GO:0032612" "BP" "GO:0032612" "interleukin-1 production" "5/145" "128/28564" 0.000504344430783716 0.0350689337030153 0.0287131635446913 "Ifnar1/Ffar4/Anxa1/Cd36/Sirpa" 5
"GO:0061387" "BP" "GO:0061387" "regulation of extent of cell growth" "5/145" "129/28564" 0.000522562385930452 0.0350689337030153 0.0287131635446913 "Bcl11a/Mag/Sema4a/Trim46/Limk1" 5
"GO:0099518" "BP" "GO:0099518" "vesicle cytoskeletal trafficking" "4/145" "74/28564" 0.0005563886267064 0.0350689337030153 0.0287131635446913 "Myo1f/Trim46/Myo19/Kif1c" 4
"GO:0000280" "BP" "GO:0000280" "nuclear division" "9/145" "456/28564" 0.000557428320586408 0.0350689337030153 0.0287131635446913 "Esr1/Ttk/Hspa1a/Tpx2/Osm/Kif11/Cenpk/Pdxp/Fignl1" 9
"GO:0001780" "BP" "GO:0001780" "neutrophil homeostasis" "3/145" "32/28564" 0.000570470668114119 0.0350689337030153 0.0287131635446913 "Fcgr2b/Anxa1/Axl" 3
"GO:0140014" "BP" "GO:0140014" "mitotic nuclear division" "7/145" "280/28564" 0.000589699971120862 0.0353215162189316 0.0289199688941054 "Esr1/Ttk/Hspa1a/Tpx2/Kif11/Cenpk/Pdxp" 7
"GO:1904646" "BP" "GO:1904646" "cellular response to amyloid-beta" "3/145" "33/28564" 0.000625193071056895 0.0359473371173652 0.0294323682147858 "Fcgr2b/Cd36/Ngfr" 3
"GO:0002438" "BP" "GO:0002438" "acute inflammatory response to antigenic stimulus" "3/145" "34/28564" 0.000683156024545744 0.0365281080764911 0.0299078822886555 "Fcer1g/Fcgr2b/Serpinb9" 3
"GO:0002697" "BP" "GO:0002697" "regulation of immune effector process" "9/145" "472/28564" 0.000712176432375871 0.0365281080764911 0.0299078822886555 "Fcer1g/Fcgr2b/Anxa1/Cd36/Sh2d1b1/Serpinb9/Axl/Mapkapk2/Scimp" 9
"GO:1902107" "BP" "GO:1902107" "positive regulation of leukocyte differentiation" "6/145" "211/28564" 0.000750577563215571 0.0365281080764911 0.0299078822886555 "Jun/Anxa1/Tmem64/Axl/Il15ra/Zbtb46" 6
"GO:1903708" "BP" "GO:1903708" "positive regulation of hemopoiesis" "6/145" "211/28564" 0.000750577563215571 0.0365281080764911 0.0299078822886555 "Jun/Anxa1/Tmem64/Axl/Il15ra/Zbtb46" 6
"GO:0045088" "BP" "GO:0045088" "regulation of innate immune response" "8/145" "385/28564" 0.000812482239005493 0.0381559963027213 0.0312407377803013 "Cd36/Sh2d1b1/Esr1/Serpinb9/Myo1f/Hspa1a/Mapkapk2/Scimp" 8
"GO:0050900" "BP" "GO:0050900" "leukocyte migration" "8/145" "386/28564" 0.000826181164188385 0.0381559963027213 0.0312407377803013 "Fcer1g/Ccl22/Anxa1/Sirpa/Myo1f/Gpr35/Trpm2/Ccr6" 8
"GO:0007020" "BP" "GO:0007020" "microtubule nucleation" "3/145" "37/28564" 0.000877237400228139 0.0394082032102487 0.0322659991136544 "Rangrf/Hspa1a/Tpx2" 3
"GO:0031345" "BP" "GO:0031345" "negative regulation of cell projection organization" "6/145" "219/28564" 0.00091030420788409 0.0401220873512686 0.0328505014046751 "Bcl11a/Mag/Sema4a/Ngfr/Trim46/Il15ra" 6
"GO:0033032" "BP" "GO:0033032" "regulation of myeloid cell apoptotic process" "3/145" "39/28564" 0.00102417742158069 0.0405504823188557 0.0332012555755952 "Fcer1g/Fcgr2b/Anxa1" 3
"GO:1904645" "BP" "GO:1904645" "response to amyloid-beta" "3/145" "39/28564" 0.00102417742158069 0.0405504823188557 0.0332012555755952 "Fcgr2b/Cd36/Ngfr" 3
"GO:0002764" "BP" "GO:0002764" "immune response-regulating signaling pathway" "8/145" "402/28564" 0.00107181650546258 0.041729389279343 0.0341665015864123 "Fcer1g/Cd36/Sh2d1b1/Esr1/Hspa1a/Mapkapk2/Scimp/Nfatc2" 8
"GO:0030595" "BP" "GO:0030595" "leukocyte chemotaxis" "6/145" "230/28564" 0.00117125300043423 0.0446783132580403 0.0365809729586604 "Fcer1g/Ccl22/Anxa1/Gpr35/Trpm2/Ccr6" 6
"GO:0042119" "BP" "GO:0042119" "neutrophil activation" "3/145" "41/28564" 0.00118581139640347 0.0446783132580403 0.0365809729586604 "Fcer1g/Anxa1/Myo1f" 3
"GO:0010721" "BP" "GO:0010721" "negative regulation of cell development" "7/145" "318/28564" 0.00123727482702335 0.0451605311863521 0.0369757954062733 "Bcl11a/Mag/Sema4a/Anxa1/Pira6/Trim46/Zbtb46" 7
"GO:0031110" "BP" "GO:0031110" "regulation of microtubule polymerization or depolymerization" "4/145" "94/28564" 0.00136360885406717 0.0455824573793301 0.0373212531805348 "Mid1/Rangrf/Hspa1a/Tpx2" 4
"GO:0051899" "BP" "GO:0051899" "membrane depolarization" "4/145" "94/28564" 0.00136360885406717 0.0455824573793301 0.0373212531805348 "Jun/Hsh2d/Ngfr/Rangrf" 4
"GO:0010968" "BP" "GO:0010968" "regulation of microtubule nucleation" "2/145" "11/28564" 0.00136591267831897 0.0455824573793301 0.0373212531805348 "Rangrf/Hspa1a" 2
"GO:0060068" "BP" "GO:0060068" "vagina development" "2/145" "11/28564" 0.00136591267831897 0.0455824573793301 0.0373212531805348 "Esr1/Axl" 2
"GO:0001781" "BP" "GO:0001781" "neutrophil apoptotic process" "2/145" "12/28564" 0.00163364368041196 0.0484032294921868 0.0396307984802196 "Fcgr2b/Anxa1" 2
"GO:0032825" "BP" "GO:0032825" "positive regulation of natural killer cell differentiation" "2/145" "12/28564" 0.00163364368041196 0.0484032294921868 0.0396307984802196 "Axl/Il15ra" 2
"GO:0009394" "BP" "GO:0009394" "2'-deoxyribonucleotide metabolic process" "3/145" "46/28564" 0.00165764484562283 0.0484032294921868 0.0396307984802196 "Adk/Dnph1/Cmpk2" 3
"GO:0019692" "BP" "GO:0019692" "deoxyribose phosphate metabolic process" "3/145" "46/28564" 0.00165764484562283 0.0484032294921868 0.0396307984802196 "Adk/Dnph1/Cmpk2" 3
"GO:0033028" "BP" "GO:0033028" "myeloid cell apoptotic process" "3/145" "46/28564" 0.00165764484562283 0.0484032294921868 0.0396307984802196 "Fcer1g/Fcgr2b/Anxa1" 3
"GO:0031253" "CC" "GO:0031253" "cell projection membrane" "9/145" "325/28585" 4.45261645290011e-05 0.00908333756391622 0.00806157926209282 "Pex19/Itga5/Slc34a1/Cd36/Ngfr/Scimp/Eps8l1/Slc7a5/Pdxp" 9
"GO:0045171" "CC" "GO:0045171" "intercellular bridge" "5/145" "98/28585" 0.000145697801288517 0.0148611757314287 0.0131894851692763 "Tubb2a/Gstm4/Tubb3/Tpx2/Gstm1" 5
