ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030099	GO:0030099	myeloid cell differentiation	38/517	480/28891	2.39225257463664e-14	1.07986281219098e-10	7.36310160867109e-11	Cd74/Hba-a1/Hbb-b1/Bmyc/Cd300lf/Junb/Nrros/Klf10/Tyrobp/Ccr7/Cbfa2t3/Trf/Fosl2/Jun/Gpr183/Gpr137b/Zfp385a/Klf13/Fech/Gpr171/Rassf2/Rarg/Fcer1g/Ceacam1/Slc11a2/Dnase2a/Pira2/Adam8/Tnfsf9/Id2/Tgfbr2/Actn1/Nfix/Tlr2/Runx1/Apc/Prdm16/Tlr4	38
GO:0002573	GO:0002573	myeloid leukocyte differentiation	28/517	272/28891	1.16765996597355e-13	2.63540854320231e-10	1.79696723184562e-10	Cd74/Bmyc/Cd300lf/Junb/Nrros/Klf10/Tyrobp/Ccr7/Cbfa2t3/Trf/Fosl2/Jun/Gpr183/Gpr137b/Rassf2/Fcer1g/Ceacam1/Pira2/Adam8/Tnfsf9/Id2/Tgfbr2/Nfix/Tlr2/Runx1/Apc/Prdm16/Tlr4	28
GO:0030098	GO:0030098	lymphocyte differentiation	36/517	486/28891	8.45264831438031e-13	1.27184181637042e-09	8.67212058640282e-10	H2-Ab1/H2-Aa/Cd74/Dpp4/Lgals1/Lfng/Dusp10/Ccr7/Ccr9/Fosl2/Anxa1/Sema4a/Gpr183/Ripk3/Il6ra/Clcf1/Tcf7/Gadd45g/Nfatc3/Fcer1g/Runx3/Ifnar2/Irf2bp2/Adam8/Tnfsf9/Axl/Id2/Dock10/Tgfbr2/Zfp36l2/Sh3rf1/Runx1/Smad7/Apc/Il9r/Ptger4	36
GO:1903706	GO:1903706	regulation of hemopoiesis	32/517	452/28891	5.22939633539853e-11	5.13839668429451e-08	3.50364291324701e-08	H2-Aa/Cd74/Bmyc/Dusp10/Klf10/Tyrobp/Ccr7/Anxa1/Tmem176a/Jun/Tsc22d1/Gpr137b/Tcf7/Klf13/Gpr171/Rassf2/Rarg/Ceacam1/Runx3/Tmem176b/Pira2/Adam8/Tnfsf9/Axl/Id2/Tgfbr2/Zfp36l2/Sh3rf1/Runx1/Smad7/Apc/Prdm16	32
GO:0010631	GO:0010631	epithelial cell migration	27/517	328/28891	6.05412382374667e-11	5.13839668429451e-08	3.50364291324701e-08	Lgmn/Dpp4/Cd63/Rgcc/Dusp10/Grn/Anxa1/Pik3cd/Sema4a/Jun/Tacstd2/P2rx4/Zeb2/Cxcr4/Ceacam1/Plk2/Cd40/Itgb1/Tbxa2r/Adam8/Tgfbr2/Clasp2/Jup/Tgfbr1/Scarb1/Apc/Rac1	27
GO:0090132	GO:0090132	epithelium migration	27/517	330/28891	6.94930777260142e-11	5.13839668429451e-08	3.50364291324701e-08	Lgmn/Dpp4/Cd63/Rgcc/Dusp10/Grn/Anxa1/Pik3cd/Sema4a/Jun/Tacstd2/P2rx4/Zeb2/Cxcr4/Ceacam1/Plk2/Cd40/Itgb1/Tbxa2r/Adam8/Tgfbr2/Clasp2/Jup/Tgfbr1/Scarb1/Apc/Rac1	27
GO:0090130	GO:0090130	tissue migration	27/517	332/28891	7.96827133142702e-11	5.13839668429451e-08	3.50364291324701e-08	Lgmn/Dpp4/Cd63/Rgcc/Dusp10/Grn/Anxa1/Pik3cd/Sema4a/Jun/Tacstd2/P2rx4/Zeb2/Cxcr4/Ceacam1/Plk2/Cd40/Itgb1/Tbxa2r/Adam8/Tgfbr2/Clasp2/Jup/Tgfbr1/Scarb1/Apc/Rac1	27
GO:1902105	GO:1902105	regulation of leukocyte differentiation	28/517	363/28891	1.21322802923031e-10	6.39827305496681e-08	4.36269626955272e-08	H2-Aa/Cd74/Bmyc/Dusp10/Klf10/Tyrobp/Ccr7/Anxa1/Tmem176a/Jun/Gpr137b/Tcf7/Rassf2/Ceacam1/Runx3/Tmem176b/Pira2/Adam8/Tnfsf9/Axl/Id2/Tgfbr2/Zfp36l2/Sh3rf1/Runx1/Smad7/Apc/Prdm16	28
GO:0030217	GO:0030217	T cell differentiation	27/517	339/28891	1.27568581069343e-10	6.39827305496681e-08	4.36269626955272e-08	H2-Aa/Cd74/Lfng/Dusp10/Ccr7/Ccr9/Fosl2/Anxa1/Sema4a/Gpr183/Ripk3/Il6ra/Tcf7/Gadd45g/Nfatc3/Fcer1g/Runx3/Ifnar2/Adam8/Tnfsf9/Tgfbr2/Zfp36l2/Sh3rf1/Runx1/Smad7/Apc/Ptger4	27
GO:0001667	GO:0001667	ameboidal-type cell migration	32/517	471/28891	1.49422396959257e-10	6.74492699874084e-08	4.59906409167228e-08	Lgmn/Dpp4/Sdc4/Cd63/Rgcc/Dusp10/Grn/Anxa1/Sema4b/Pik3cd/Sgpl1/Sema4a/Jun/Tacstd2/P2rx4/Zeb2/Cxcr4/Ceacam1/Plk2/Cd40/Itgb1/Tbxa2r/Adam8/Akap12/Tgfbr2/Sema4d/Clasp2/Jup/Tgfbr1/Scarb1/Apc/Rac1	32
GO:0071900	GO:0071900	regulation of protein serine/threonine kinase activity	27/517	343/28891	1.65991119036735e-10	6.81167192119838e-08	4.64457446950634e-08	Dnaja1/Rgcc/Irak3/Dusp10/Ccr7/Fgd2/Sfn/Ccnd3/Marcks/Spry2/Chordc1/Zeb2/Trib2/Ccni/Ceacam1/Prkar2b/Pkib/Adrb2/Cd40/Htt/Adam8/Pim1/Ralb/Cdkn2b/Ccne1/Apc/Tlr4	27
GO:0050878	GO:0050878	regulation of body fluid levels	27/517	348/28891	2.29397605794865e-10	8.62917327131685e-08	5.8838473626683e-08	Anxa2/Adm/Kcnn4/Pear1/Pdia3/Plaur/Fzd6/Fosl2/Adora2a/Il6ra/Pip5k1c/Zfp385a/Hpse/St3gal4/Cd36/Serpine2/Fcer1g/Ceacam1/Adrb2/Tbxa2r/Axl/Oas2/Eif2ak3/Prickle1/Tlr4/Mfsd2b/Ptger4	27
