ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050866	GO:0050866	negative regulation of cell activation	26/481	225/28891	1.09000680351639e-14	2.3431116830997e-11	1.8110342528439e-11	Cd200/Tnfsf4/Ctla4/Apoe/Laptm5/Tnfrsf13b/Lax1/Cd24a/Slfn1/Gimap3/Syt11/Cd86/Irf1/Rabgef1/Cnr2/Hmgb3/Il10/Fer/Twsg1/Pglyrp1/Dlg1/Casp3/Lag3/Il2ra/Bcl6/Tigit	26
GO:0002695	GO:0002695	negative regulation of leukocyte activation	25/481	206/28891	1.13826168719927e-14	2.3431116830997e-11	1.8110342528439e-11	Cd200/Tnfsf4/Ctla4/Laptm5/Tnfrsf13b/Lax1/Cd24a/Slfn1/Gimap3/Syt11/Cd86/Irf1/Rabgef1/Cnr2/Hmgb3/Il10/Fer/Twsg1/Pglyrp1/Dlg1/Casp3/Lag3/Il2ra/Bcl6/Tigit	25
GO:0042113	GO:0042113	B cell activation	28/481	320/28891	1.11678338177725e-12	1.53259906092565e-09	1.18457409232022e-09	Tnfsf4/Themis2/Ikzf3/Ctla4/Laptm5/Tnfrsf13b/Lax1/Hmces/Cd24a/Irf8/Cd86/Fcrl1/Pik3r1/Hmgb3/Il10/Bad/Cd320/Polm/Ikzf1/Il7/Casp3/Prkdc/Icosl/Ada/Bcl6/Ezh2/Vav3/Cfb	28
GO:0051250	GO:0051250	negative regulation of lymphocyte activation	20/481	174/28891	1.45855810320533e-11	1.50122092772408e-08	1.16032135420782e-08	Tnfsf4/Ctla4/Laptm5/Tnfrsf13b/Lax1/Cd24a/Slfn1/Gimap3/Cd86/Irf1/Hmgb3/Il10/Twsg1/Pglyrp1/Dlg1/Casp3/Lag3/Il2ra/Bcl6/Tigit	20
GO:1902105	GO:1902105	regulation of leukocyte differentiation	27/481	363/28891	1.18930550744759e-10	9.7927415483235e-08	7.56899062950332e-08	Car2/Tnfsf4/Ikzf3/Ctla4/Lck/Cd24a/Gimap3/Irf1/Pik3r1/Hmgb3/Il10/Bad/Gpr137/Pglyrp1/Ikzf1/Il7/Prdm1/Lag3/Gpr55/Prkdc/Clec2g/Cdk6/Gata3/Il2ra/Ada/Bcl6/Zfp609	27
GO:0032944	GO:0032944	regulation of mononuclear cell proliferation	24/481	290/28891	1.4905173835023e-10	1.0227433446465e-07	7.90497201811835e-08	Tnfsf4/Ikzf3/Ctla4/Laptm5/Tnfrsf13b/Cd24a/Slfn1/Cd86/Irf1/Il10/Il6st/Slamf1/Twsg1/Bcl2l1/Cd320/Cd59a/Dlg1/Il7/Casp3/Icosl/Il2ra/Ada/Bcl6/Vav3	24
GO:1903706	GO:1903706	regulation of hemopoiesis	30/481	452/28891	1.77214864625606e-10	1.04227656809089e-07	8.05594790621365e-08	Car2/Tnfsf4/Ikzf3/Ctla4/Stat1/Lck/Cd24a/Gimap3/Irf1/Pik3r1/Hmgb3/Il10/Bad/Gpr137/Pglyrp1/Ikzf1/Il7/Prdm1/Lmo2/Lag3/Gpr55/Prkdc/Clec2g/Cdk6/Gata3/Il2ra/Ada/Bcl6/Zfp609/Isg15	30
GO:0030098	GO:0030098	lymphocyte differentiation	31/481	486/28891	2.33528458617561e-10	1.20179583016062e-07	9.28890171580113e-08	Tnfsf4/Tnfsf8/Ikzf3/Ctla4/Laptm5/Lck/Cd24a/Gimap3/Irf8/Irf1/Pik3r1/Hmgb3/Il10/Slamf1/Bad/Polm/Pglyrp1/Ikzf1/Il7/Prdm1/Lag3/Prkdc/Cdk6/Gata3/Il2ra/Ada/Bcl6/Cd3g/Ezh2/Zfp609/Rsad2	31
GO:0050864	GO:0050864	regulation of B cell activation	17/481	148/28891	5.02199776329306e-10	2.29728497683084e-07	1.77561394601578e-07	Tnfsf4/Themis2/Ikzf3/Ctla4/Laptm5/Tnfrsf13b/Hmces/Cd24a/Hmgb3/Il10/Bad/Cd320/Il7/Casp3/Ada/Bcl6/Vav3	17
GO:0050670	GO:0050670	regulation of lymphocyte proliferation	23/481	286/28891	6.34009791717285e-10	2.61021831250006e-07	2.01748589511721e-07	Tnfsf4/Ikzf3/Ctla4/Laptm5/Tnfrsf13b/Cd24a/Slfn1/Cd86/Irf1/Il10/Il6st/Slamf1/Twsg1/Cd320/Cd59a/Dlg1/Il7/Casp3/Icosl/Il2ra/Ada/Bcl6/Vav3	23
