ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030098	GO:0030098	lymphocyte differentiation	10/132	486/28891	8.2897805466725e-05	0.149643617026356	0.131449280314734	Lgals8/Dpp4/Rara/Cdh17/Stat4/Tcf7/Fanca/Il9r/Cdk6/Txk	10
GO:0051896	GO:0051896	regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	7/132	266/28891	0.000229633372346075	0.149643617026356	0.131449280314734	Serpine2/Rara/Dag1/Nedd4/Pik3cg/Prr5l/Itsn1	7
GO:0022409	GO:0022409	positive regulation of cell-cell adhesion	8/132	354/28891	0.000231452556540995	0.149643617026356	0.131449280314734	Lgals8/Hsph1/Rap1gap/Dpp4/Rara/Cd209a/St3gal4/Cd5	8
GO:0021915	GO:0021915	neural tube development	6/132	198/28891	0.000307393407666556	0.149643617026356	0.131449280314734	Adm/Traf3ip1/Rara/Plxnb2/Cecr2/Tcf7	6
GO:0031295	GO:0031295	T cell costimulation	3/132	32/28891	0.000419655904714551	0.149643617026356	0.131449280314734	Lgals8/Dpp4/Cd5	3
GO:1903039	GO:1903039	positive regulation of leukocyte cell-cell adhesion	7/132	303/28891	0.000502193033560772	0.149643617026356	0.131449280314734	Lgals8/Hsph1/Dpp4/Rara/Cd209a/St3gal4/Cd5	7
GO:0031294	GO:0031294	lymphocyte costimulation	3/132	34/28891	0.00050292877707841	0.149643617026356	0.131449280314734	Lgals8/Dpp4/Cd5	3
GO:0050863	GO:0050863	regulation of T cell activation	8/132	411/28891	0.00062259220123197	0.149643617026356	0.131449280314734	Lgals8/Hsph1/Dpp4/Rara/Cd209a/Tcf7/Fanca/Cd5	8
GO:0043491	GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	7/132	317/28891	0.000655736353700528	0.149643617026356	0.131449280314734	Serpine2/Rara/Dag1/Nedd4/Pik3cg/Prr5l/Itsn1	7
GO:0043254	GO:0043254	regulation of protein-containing complex assembly	8/132	437/28891	0.000925503476159664	0.149643617026356	0.131449280314734	Tppp3/Traf3ip1/Ikbke/Bcl2l11/Tppp/Cdh17/Eps8/Stxbp6	8
GO:2001233	GO:2001233	regulation of apoptotic signaling pathway	8/132	437/28891	0.000925503476159664	0.149643617026356	0.131449280314734	Lmna/Dnaja1/Bcl2l11/Ctnna1/Steap3/Atf3/Pycr1/Il9r	8
GO:0071214	GO:0071214	cellular response to abiotic stimulus	7/132	340/28891	0.00098674443714955	0.149643617026356	0.131449280314734	Pde2a/Ccnd2/Dag1/Nedd4/Aurkb/Rad51/Pkd1l3	7
GO:0104004	GO:0104004	cellular response to environmental stimulus	7/132	340/28891	0.00098674443714955	0.149643617026356	0.131449280314734	Pde2a/Ccnd2/Dag1/Nedd4/Aurkb/Rad51/Pkd1l3	7
GO:0002335	GO:0002335	mature B cell differentiation	3/132	43/28891	0.00100657114848584	0.149643617026356	0.131449280314734	Lgals8/Dpp4/Cdh17	3
GO:0045638	GO:0045638	negative regulation of myeloid cell differentiation	4/132	100/28891	0.00116320344919906	0.149643617026356	0.131449280314734	Gpr137b/Rara/Gpr171/Cdk6	4
GO:0007596	GO:0007596	blood coagulation	5/132	175/28891	0.00128161287843106	0.149643617026356	0.131449280314734	Serpine2/Lyst/St3gal4/Txk/Pros1	5
GO:0050817	GO:0050817	coagulation	5/132	178/28891	0.00138158715870494	0.149643617026356	0.131449280314734	Serpine2/Lyst/St3gal4/Txk/Pros1	5
GO:0007599	GO:0007599	hemostasis	5/132	179/28891	0.00141615595029527	0.149643617026356	0.131449280314734	Serpine2/Lyst/St3gal4/Txk/Pros1	5
GO:0035148	GO:0035148	tube formation	5/132	182/28891	0.00152369304277264	0.149643617026356	0.131449280314734	Adm/Rara/Bcl2l11/Plxnb2/Cecr2	5
GO:0051251	GO:0051251	positive regulation of lymphocyte activation	7/132	367/28891	0.00152975236326546	0.149643617026356	0.131449280314734	Lgals8/Hsph1/Dpp4/Rara/Cd209a/Lyst/Cd5	7
GO:0010951	GO:0010951	negative regulation of endopeptidase activity	5/132	184/28891	0.00159864751029701	0.149643617026356	0.131449280314734	Serpina3g/Serpine2/Serpina3f/Nr4a1/Il9r	5
GO:0046364	GO:0046364	monosaccharide biosynthetic process	4/132	109/28891	0.00159903427429463	0.149643617026356	0.131449280314734	Gsto1/Slc25a13/Atf3/Per2	4
GO:0042060	GO:0042060	wound healing	7/132	370/28891	0.00160214357703957	0.149643617026356	0.131449280314734	Serpine2/Cask/Lyst/St3gal4/Clec10a/Txk/Pros1	7
GO:0050870	GO:0050870	positive regulation of T cell activation	6/132	277/28891	0.00175897803528864	0.149643617026356	0.131449280314734	Lgals8/Hsph1/Dpp4/Rara/Cd209a/Cd5	6
GO:0001843	GO:0001843	neural tube closure	4/132	112/28891	0.00176649943925204	0.149643617026356	0.131449280314734	Adm/Rara/Plxnb2/Cecr2	4
GO:0098917	GO:0098917	retrograde trans-synaptic signaling	2/132	14/28891	0.00181864840217788	0.149643617026356	0.131449280314734	Dag1/Fabp5	2
GO:0008630	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	4/132	113/28891	0.001824922158858	0.149643617026356	0.131449280314734	Ikbke/Bcl2l11/Steap3/Ifi204	4
GO:0060606	GO:0060606	tube closure	4/132	113/28891	0.001824922158858	0.149643617026356	0.131449280314734	Adm/Rara/Plxnb2/Cecr2	4
GO:0051897	GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	5/132	193/28891	0.00196989504863078	0.155961345919181	0.136998871621654	Rara/Nedd4/Pik3cg/Prr5l/Itsn1	5
GO:0014020	GO:0014020	primary neural tube formation	4/132	119/28891	0.00220385373650552	0.162721738542395	0.142937305633243	Adm/Rara/Plxnb2/Cecr2	4
GO:0034501	GO:0034501	protein localization to kinetochore	2/132	16/28891	0.00238391308646448	0.162721738542395	0.142937305633243	Aurkb/Cdk1	2
GO:1903083	GO:1903083	protein localization to condensed chromosome	2/132	16/28891	0.00238391308646448	0.162721738542395	0.142937305633243	Aurkb/Cdk1	2
GO:0045786	GO:0045786	negative regulation of cell cycle	7/132	400/28891	0.00248249261752343	0.162721738542395	0.142937305633243	Cdkn2c/Nr4a1/Gpr132/Aurkb/Rad51/Cdk1/Cdk6	7
GO:1903037	GO:1903037	regulation of leukocyte cell-cell adhesion	7/132	407/28891	0.00273322220703551	0.162721738542395	0.142937305633243	Lgals8/Hsph1/Dpp4/Rara/Cd209a/St3gal4/Cd5	7
GO:0061041	GO:0061041	regulation of wound healing	4/132	128/28891	0.00286902876555072	0.162721738542395	0.142937305633243	Serpine2/Cask/St3gal4/Pros1	4
GO:0055012	GO:0055012	ventricular cardiac muscle cell differentiation	2/132	18/28891	0.00302137248552979	0.162721738542395	0.142937305633243	Lmna/Rara	2
GO:0031641	GO:0031641	regulation of myelination	3/132	63/28891	0.00303079499832815	0.162721738542395	0.142937305633243	Rara/Dag1/Tppp	3
GO:0016051	GO:0016051	carbohydrate biosynthetic process	5/132	216/28891	0.00320120884344692	0.162721738542395	0.142937305633243	Gsto1/Slc25a13/St3gal4/Atf3/Per2	5
GO:0001578	GO:0001578	microtubule bundle formation	4/132	132/28891	0.00320441805590293	0.162721738542395	0.142937305633243	Tppp3/Tppp/Dnah8/Spag1	4
GO:0001841	GO:0001841	neural tube formation	4/132	132/28891	0.00320441805590293	0.162721738542395	0.142937305633243	Adm/Rara/Plxnb2/Cecr2	4
GO:0099072	GO:0099072	regulation of postsynaptic membrane neurotransmitter receptor levels	4/132	133/28891	0.00329226045876443	0.162721738542395	0.142937305633243	Dag1/Nedd4/Ctnnd1/Eps8	4
GO:0002762	GO:0002762	negative regulation of myeloid leukocyte differentiation	3/132	65/28891	0.00331169376208031	0.162721738542395	0.142937305633243	Gpr137b/Rara/Cdk6	3
GO:0030193	GO:0030193	regulation of blood coagulation	3/132	66/28891	0.00345791977486323	0.162721738542395	0.142937305633243	Serpine2/St3gal4/Pros1	3
GO:0050678	GO:0050678	regulation of epithelial cell proliferation	7/132	426/28891	0.00351240353734042	0.162721738542395	0.142937305633243	Ccnd2/Mcc/Rap1gap/Cask/Uhrf1/Nr4a1/Cdk6	7
GO:0046631	GO:0046631	alpha-beta T cell activation	5/132	221/28891	0.00352893014874613	0.162721738542395	0.142937305633243	Hsph1/Rara/Stat4/Tcf7/Txk	5
GO:0046394	GO:0046394	carboxylic acid biosynthetic process	6/132	321/28891	0.00365018915045191	0.162721738542395	0.142937305633243	Oxsm/Gsto1/Mgst2/Pycr1/Fabp5/Per2	6
GO:0043116	GO:0043116	negative regulation of vascular permeability	2/132	20/28891	0.00372968332801963	0.162721738542395	0.142937305633243	Adm/Pde2a	2
GO:0046632	GO:0046632	alpha-beta T cell differentiation	4/132	138/28891	0.00375616709330391	0.162721738542395	0.142937305633243	Rara/Stat4/Tcf7/Txk	4
GO:0061045	GO:0061045	negative regulation of wound healing	3/132	68/28891	0.00376208779163722	0.162721738542395	0.142937305633243	Serpine2/Cask/Pros1	3
GO:1900046	GO:1900046	regulation of hemostasis	3/132	68/28891	0.00376208779163722	0.162721738542395	0.142937305633243	Serpine2/St3gal4/Pros1	3
GO:0002696	GO:0002696	positive regulation of leukocyte activation	7/132	432/28891	0.0037906023012041	0.162721738542395	0.142937305633243	Lgals8/Hsph1/Dpp4/Rara/Cd209a/Lyst/Cd5	7
GO:0016053	GO:0016053	organic acid biosynthetic process	6/132	324/28891	0.00381905613985059	0.162721738542395	0.142937305633243	Oxsm/Gsto1/Mgst2/Pycr1/Fabp5/Per2	6
GO:0097193	GO:0097193	intrinsic apoptotic signaling pathway	6/132	327/28891	0.0039936577389852	0.162721738542395	0.142937305633243	Dnaja1/Ikbke/Bcl2l11/Steap3/Ifi204/Pycr1	6
GO:0010766	GO:0010766	negative regulation of sodium ion transport	2/132	21/28891	0.00410999324259098	0.162721738542395	0.142937305633243	Serpine2/Nedd4	2
GO:0051930	GO:0051930	regulation of sensory perception of pain	2/132	21/28891	0.00410999324259098	0.162721738542395	0.142937305633243	Gpr171/Fabp5	2
