ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050866	GO:0050866	negative regulation of cell activation	11/145	225/28891	2.02986811112291e-08	5.36291154958673e-05	4.09392347464368e-05	Fcgr2b/Prnp/Cd200/Fgl2/Syt11/Ubash3b/Spn/Lag3/Fer/Hspb1/Tnfsf4	11
GO:0001818	GO:0001818	negative regulation of cytokine production	12/145	314/28891	6.86042920421885e-08	8.58958479447801e-05	6.55709170334271e-05	Fcgr2b/Serpinb1a/Prnp/Cd200/Syt11/Cd59a/Laptm4b/Lag3/Tnfsf4/Slamf1/Hdac9/Oas1a	12
GO:0002695	GO:0002695	negative regulation of leukocyte activation	10/145	206/28891	9.75350279463817e-08	8.58958479447801e-05	6.55709170334271e-05	Fcgr2b/Prnp/Cd200/Fgl2/Syt11/Spn/Lag3/Fer/Hspb1/Tnfsf4	10
GO:0050777	GO:0050777	negative regulation of immune response	10/145	239/28891	3.86375468219571e-07	0.000255200996759026	0.000194814578186499	Fcgr2b/Fgl2/Cd59a/Spn/Fer/Tnfsf4/Fcrlb/Slamf1/Serpinb9/Oas1a	10
GO:1904646	GO:1904646	cellular response to amyloid-beta	5/145	38/28891	1.30510402944707e-06	0.00068961696915983	0.000526437751667491	Fcgr2b/Prnp/Ngfr/Igf1r/Fyn	5
GO:0002698	GO:0002698	negative regulation of immune effector process	8/145	170/28891	2.44734742266928e-06	0.00104027174210582	0.000794119549732959	Fcgr2b/Fgl2/Cd59a/Spn/Fer/Tnfsf4/Slamf1/Serpinb9	8
GO:1904645	GO:1904645	response to amyloid-beta	5/145	44/28891	2.75620824933412e-06	0.00104027174210582	0.000794119549732959	Fcgr2b/Prnp/Ngfr/Igf1r/Fyn	5
GO:0050727	GO:0050727	regulation of inflammatory response	11/145	411/28891	7.77667489968549e-06	0.00256824688562113	0.00196054067207861	Fcgr2b/Socs3/Cd200/Syt11/Esr1/Spn/Nt5e/Lrrk2/Camk2n1/Lacc1/Tnfsf4	11
GO:0097062	GO:0097062	dendritic spine maintenance	4/145	28/28891	1.1347548395816e-05	0.00333113587352732	0.00254291259957702	Fcgr2b/Prnp/Igf1r/Fyn	4
GO:0051090	GO:0051090	regulation of DNA-binding transcription factor activity	11/145	436/28891	1.34910265037026e-05	0.00356432920227822	0.00272092702958886	Fcgr2b/Prnp/Cd200/Id3/Esr1/Lrrk2/Fer/Tnfsf4/Cacna1d/Igf1r/Stk3	11
GO:0043433	GO:0043433	negative regulation of DNA-binding transcription factor activity	7/145	169/28891	2.42654578301139e-05	0.0055205988919988	0.00421429836928551	Prnp/Cd200/Id3/Esr1/Lrrk2/Tnfsf4/Igf1r	7
GO:0072678	GO:0072678	T cell migration	5/145	69/28891	2.5789779499009e-05	0.0055205988919988	0.00421429836928551	Cd200/Cxcl13/Spn/F11r/Tnfsf4	5
GO:0002697	GO:0002697	regulation of immune effector process	11/145	473/28891	2.85179112395932e-05	0.0055205988919988	0.00421429836928551	Fcgr2b/Fgl2/Cd59a/Scimp/Spn/Lag3/Fer/Lacc1/Tnfsf4/Slamf1/Serpinb9	11
GO:0051250	GO:0051250	negative regulation of lymphocyte activation	7/145	174/28891	2.92537412899255e-05	0.0055205988919988	0.00421429836928551	Fcgr2b/Prnp/Fgl2/Spn/Lag3/Hspb1/Tnfsf4	7
GO:0032102	GO:0032102	negative regulation of response to external stimulus	11/145	485/28891	3.58008242242865e-05	0.00592794762634849	0.00452525903505467	Fcgr2b/Socs3/Cd200/Fgl2/Syt11/Ubash3b/Cxcl13/Spn/Nt5e/Serpinb9/Oas1a	11
GO:1902106	GO:1902106	negative regulation of leukocyte differentiation	6/145	123/28891	3.77902927940175e-05	0.00592794762634849	0.00452525903505467	Fgl2/Ubash3b/Lag3/Pira6/Hspb1/Tnfsf4	6
GO:0051403	GO:0051403	stress-activated MAPK cascade	8/145	248/28891	3.81434934322197e-05	0.00592794762634849	0.00452525903505467	Fcgr2b/Scimp/Lrrk2/Slamf1/Mid1/Igf1r/Stk3/Mdfic	8
GO:0099173	GO:0099173	postsynapse organization	8/145	252/28891	4.27084919741733e-05	0.00626865754420921	0.00478534915921146	Fcgr2b/Prnp/Nrp2/Lrrk2/Ntng2/Igf1r/Lrp4/Fyn	8
GO:0031348	GO:0031348	negative regulation of defense response	9/145	330/28891	4.61801987972179e-05	0.0064214781695921	0.00490200891387643	Fcgr2b/Socs3/Cd200/Fgl2/Syt11/Spn/Nt5e/Serpinb9/Oas1a	9
GO:1903707	GO:1903707	negative regulation of hemopoiesis	6/145	129/28891	4.93552658124211e-05	0.00642305871240352	0.00490321546394882	Fgl2/Ubash3b/Lag3/Pira6/Hspb1/Tnfsf4	6
GO:0071675	GO:0071675	regulation of mononuclear cell migration	6/145	130/28891	5.15315965275227e-05	0.00642305871240352	0.00490321546394882	Cd200/Cxcl13/Spn/Tnfsf4/Slamf1/Csf1	6
GO:0031098	GO:0031098	stress-activated protein kinase signaling cascade	8/145	261/28891	5.46674973992487e-05	0.00642305871240352	0.00490321546394882	Fcgr2b/Scimp/Lrrk2/Slamf1/Mid1/Igf1r/Stk3/Mdfic	8
GO:0098703	GO:0098703	calcium ion import across plasma membrane	4/145	42/28891	5.87402259961364e-05	0.00642305871240352	0.00490321546394882	Prnp/Cacna1d/Akap5/Fyn	4
GO:0071677	GO:0071677	positive regulation of mononuclear cell migration	5/145	82/28891	5.94242303239029e-05	0.00642305871240352	0.00490321546394882	Cxcl13/Spn/Tnfsf4/Slamf1/Csf1	5
GO:0007265	GO:0007265	Ras protein signal transduction	9/145	342/28891	6.07783754012445e-05	0.00642305871240352	0.00490321546394882	Elmo1/Ngfr/Rap2b/Dlc1/F11r/Arhgef12/Rasgrp3/Rapgef3/Csf1	9
GO:1902950	GO:1902950	regulation of dendritic spine maintenance	3/145	16/28891	6.60977735307123e-05	0.0064666251036182	0.00493647304615023	Fcgr2b/Prnp/Fyn	3
GO:1901653	GO:1901653	cellular response to peptide	9/145	346/28891	6.64357879307384e-05	0.0064666251036182	0.00493647304615023	Fcgr2b/Cyp11a1/Socs3/Prnp/Ngfr/Fer/Hdac9/Igf1r/Fyn	9
GO:0071674	GO:0071674	mononuclear cell migration	7/145	199/28891	6.8533498448641e-05	0.0064666251036182	0.00493647304615023	Cd200/Cxcl13/Spn/F11r/Tnfsf4/Slamf1/Csf1	7
GO:0050868	GO:0050868	negative regulation of T cell activation	6/145	138/28891	7.18500108220836e-05	0.00654578374454982	0.00499690093412386	Prnp/Fgl2/Spn/Lag3/Hspb1/Tnfsf4	6
GO:0032872	GO:0032872	regulation of stress-activated MAPK cascade	7/145	206/28891	8.51062893364248e-05	0.00749502721422781	0.00572153159188035	Fcgr2b/Scimp/Slamf1/Mid1/Igf1r/Stk3/Mdfic	7
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	10/145	447/28891	9.14904171261645e-05	0.00768227987138378	0.0058644759685929	Prnp/Fgl2/Cd59a/Spn/Nt5e/Lag3/F11r/Hspb1/Tnfsf4/Slamf1	10
GO:0022408	GO:0022408	negative regulation of cell-cell adhesion	7/145	209/28891	9.31433627971998e-05	0.00768227987138378	0.0058644759685929	Prnp/Fgl2/Ubash3b/Spn/Lag3/Hspb1/Tnfsf4	7
GO:0070302	GO:0070302	regulation of stress-activated protein kinase signaling cascade	7/145	210/28891	9.59558046009329e-05	0.00768227987138378	0.0058644759685929	Fcgr2b/Scimp/Slamf1/Mid1/Igf1r/Stk3/Mdfic	7
GO:1905664	GO:1905664	regulation of calcium ion import across plasma membrane	3/145	19/28891	0.000113116331991853	0.00878980438595513	0.0067099347398263	Prnp/Akap5/Fyn	3
GO:1901652	GO:1901652	response to peptide	10/145	464/28891	0.00012411041131906	0.00905911496959487	0.00691552025249762	Fcgr2b/Cyp11a1/Socs3/Prnp/Ggh/Ngfr/Fer/Hdac9/Igf1r/Fyn	10
GO:2000404	GO:2000404	regulation of T cell migration	4/145	51/28891	0.000126634318017121	0.00905911496959487	0.00691552025249762	Cd200/Cxcl13/Spn/Tnfsf4	4
GO:1903038	GO:1903038	negative regulation of leukocyte cell-cell adhesion	6/145	153/28891	0.00012686875619796	0.00905911496959487	0.00691552025249762	Prnp/Fgl2/Spn/Lag3/Hspb1/Tnfsf4	6
GO:0050798	GO:0050798	activated T cell proliferation	4/145	52/28891	0.000136654959928531	0.00950111589818892	0.00725293360728713	Prnp/Tnfsf4/Slamf1/Fyn	4
GO:0045581	GO:0045581	negative regulation of T cell differentiation	4/145	54/28891	0.000158399360736073	0.0107305413093514	0.00819144872254564	Fgl2/Lag3/Hspb1/Tnfsf4	4
GO:0002823	GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	4/145	55/28891	0.000170160417231068	0.0110892179414854	0.00846525422362884	Fcgr2b/Spn/Tnfsf4/Slamf1	4
GO:0050807	GO:0050807	regulation of synapse organization	8/145	309/28891	0.000175489433459668	0.0110892179414854	0.00846525422362884	Fcgr2b/Prnp/Nrp2/Lrrk2/Ntng2/Lrp4/Adgrl2/Fyn	8
GO:0033157	GO:0033157	regulation of intracellular protein transport	7/145	232/28891	0.000177619057307424	0.0110892179414854	0.00846525422362884	Prnp/Ptpn14/Lrrk2/Rapgef3/Mdfic/Akap5/Fyn	7
GO:0030098	GO:0030098	lymphocyte differentiation	10/145	486/28891	0.00018048310805597	0.0110892179414854	0.00846525422362884	Irf8/Fgl2/Cd3g/Spn/Lag3/Hspb1/Ccr9/Tnfsf4/Slamf1/Hdac9	10
GO:0002449	GO:0002449	lymphocyte mediated immunity	10/145	489/28891	0.000189623757425419	0.0113860447072263	0.00869184495758618	Fcgr2b/Fgl2/Aicda/Spn/Lag3/Il2rb/Tnfsf4/Slamf1/Serpinb9/Fcgr4	10
GO:0002703	GO:0002703	regulation of leukocyte mediated immunity	8/145	314/28891	0.000195687369968718	0.0114839495329168	0.00876658325234817	Fcgr2b/Scimp/Spn/Lag3/Fer/Tnfsf4/Slamf1/Serpinb9	8
GO:0007162	GO:0007162	negative regulation of cell adhesion	8/145	315/28891	0.000199947645160551	0.0114839495329168	0.00876658325234817	Prnp/Fgl2/Ubash3b/Spn/Dlc1/Lag3/Hspb1/Tnfsf4	8
GO:0050803	GO:0050803	regulation of synapse structure or activity	8/145	317/28891	0.000208697037333684	0.0117314377156509	0.0089555100454947	Fcgr2b/Prnp/Nrp2/Lrrk2/Ntng2/Lrp4/Adgrl2/Fyn	8
GO:0097061	GO:0097061	dendritic spine organization	5/145	108/28891	0.000218708248366595	0.0118319233036899	0.00903221843494555	Fcgr2b/Prnp/Lrrk2/Igf1r/Fyn	5
GO:0006023	GO:0006023	aminoglycan biosynthetic process	4/145	59/28891	0.000223572618591871	0.0118319233036899	0.00903221843494555	Hs3st1/Chst7/Chst3/B3gnt8	4
GO:0018108	GO:0018108	peptidyl-tyrosine phosphorylation	8/145	322/28891	0.000231954392130298	0.0118319233036899	0.00903221843494555	Socs3/Prnp/Rap2b/Fer/Ttk/Igf1r/Lrp4/Fyn	8
GO:0010721	GO:0010721	negative regulation of cell development	8/145	323/28891	0.000236851659857496	0.0118319233036899	0.00903221843494555	Fgl2/Ubash3b/Lag3/Pira6/Hspb1/Tnfsf4/Mag/Lrp4	8
GO:0002820	GO:0002820	negative regulation of adaptive immune response	4/145	60/28891	0.000238613855267486	0.0118319233036899	0.00903221843494555	Fcgr2b/Spn/Tnfsf4/Slamf1	4
GO:0050728	GO:0050728	negative regulation of inflammatory response	6/145	172/28891	0.000239560907486307	0.0118319233036899	0.00903221843494555	Fcgr2b/Socs3/Cd200/Syt11/Spn/Nt5e	6
GO:0018212	GO:0018212	peptidyl-tyrosine modification	8/145	324/28891	0.000241833405904335	0.0118319233036899	0.00903221843494555	Socs3/Prnp/Rap2b/Fer/Ttk/Igf1r/Lrp4/Fyn	8
GO:0045839	GO:0045839	negative regulation of mitotic nuclear division	4/145	61/28891	0.000254369304180239	0.0122189763935307	0.00932768587194903	Esr1/Ndc80/Ttk/Ccnb1	4
GO:0072676	GO:0072676	lymphocyte migration	5/145	112/28891	0.000259030208601295	0.012220675198654	0.00932898270075342	Cd200/Cxcl13/Spn/F11r/Tnfsf4	5
GO:0032655	GO:0032655	regulation of interleukin-12 production	4/145	63/28891	0.000288101685803666	0.0130155177990389	0.00993574728194692	Irf8/Scimp/Tnfsf4/Slamf1	4
GO:0045620	GO:0045620	negative regulation of lymphocyte differentiation	4/145	63/28891	0.000288101685803666	0.0130155177990389	0.00993574728194692	Fgl2/Lag3/Hspb1/Tnfsf4	4
GO:0002366	GO:0002366	leukocyte activation involved in immune response	8/145	333/28891	0.000290656907699961	0.0130155177990389	0.00993574728194692	Irf8/Fgl2/Aicda/Spn/Fer/Tnfsf4/Slamf1/Fcgr4	8
GO:0002263	GO:0002263	cell activation involved in immune response	8/145	337/28891	0.000314801590975095	0.0135866827846169	0.0103717615105486	Irf8/Fgl2/Aicda/Spn/Fer/Tnfsf4/Slamf1/Fcgr4	8
GO:0007254	GO:0007254	JNK cascade	6/145	181/28891	0.000314961797922322	0.0135866827846169	0.0103717615105486	Fcgr2b/Lrrk2/Slamf1/Igf1r/Stk3/Mdfic	6
GO:0032615	GO:0032615	interleukin-12 production	4/145	65/28891	0.000324928562219789	0.0135866827846169	0.0103717615105486	Irf8/Scimp/Tnfsf4/Slamf1	4
GO:0007264	GO:0007264	small GTPase mediated signal transduction	9/145	428/28891	0.000325320569439386	0.0135866827846169	0.0103717615105486	Elmo1/Ngfr/Rap2b/Dlc1/F11r/Arhgef12/Rasgrp3/Rapgef3/Csf1	9
GO:0106027	GO:0106027	neuron projection organization	5/145	118/28891	0.000329804254020463	0.0135866827846169	0.0103717615105486	Fcgr2b/Prnp/Lrrk2/Igf1r/Fyn	5
GO:0042742	GO:0042742	defense response to bacterium	9/145	430/28891	0.00033654794449107	0.0135866827846169	0.0103717615105486	Irf8/Tnfaip8/Syt11/Aicda/Cxcl13/Spn/Gbp8/Serpinb9/Oas1a	9
GO:0007088	GO:0007088	regulation of mitotic nuclear division	5/145	119/28891	0.00034289344083166	0.0135866827846169	0.0103717615105486	Esr1/Ndc80/Ttk/Igf1r/Ccnb1	5
GO:2000401	GO:2000401	regulation of lymphocyte migration	4/145	66/28891	0.000344552515734038	0.0135866827846169	0.0103717615105486	Cd200/Cxcl13/Spn/Tnfsf4	4
GO:0032386	GO:0032386	regulation of intracellular transport	8/145	346/28891	0.000375152401072497	0.0145757741710814	0.0111268111525527	Prnp/Ptpn14/Lrrk2/Rapgef3/Ehd2/Mdfic/Akap5/Fyn	8
GO:0060444	GO:0060444	branching involved in mammary gland duct morphogenesis	3/145	29/28891	0.000411152083058766	0.0157429536730617	0.0120178091707185	Esr1/Kdm5b/Csf1	3
GO:0098659	GO:0098659	inorganic cation import across plasma membrane	5/145	125/28891	0.000429871935372542	0.0159960796232994	0.0122110397060606	Prnp/Slc34a1/Cacna1d/Akap5/Fyn	5
GO:0099587	GO:0099587	inorganic ion import across plasma membrane	5/145	125/28891	0.000429871935372542	0.0159960796232994	0.0122110397060606	Prnp/Slc34a1/Cacna1d/Akap5/Fyn	5
GO:0051784	GO:0051784	negative regulation of nuclear division	4/145	71/28891	0.000455587865298267	0.0167175436127503	0.0127617887413959	Esr1/Ndc80/Ttk/Ccnb1	4
