category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
mmu05162	Human Diseases	Infectious disease: viral	mmu05162	Measles - Mus musculus (house mouse)	12/224	145/9478	0.000160416915719168	0.0452375702328053	0.0406952386192836	Stat1/Irf7/Pik3r1/Nfkb1/Slamf1/Bad/Bcl2l1/Casp3/Cdk6/Il2rb/Il2ra/Cd3g	12
mmu01524	Human Diseases	Drug resistance: antineoplastic	mmu01524	Platinum drug resistance - Mus musculus (house mouse)	8/224	80/9478	0.000576340243326438	0.0766748525859862	0.0689758845585019	Pik3r1/Map3k5/Bad/Bcl2l1/Gstt1/Casp3/Top2a/Birc5	8
mmu04659	Organismal Systems	Immune system	mmu04659	Th17 cell differentiation - Mus musculus (house mouse)	9/224	105/9478	0.000823344960968298	0.0766748525859862	0.0689758845585019	Stat1/Lck/Ppp3cc/Nfkb1/Il6st/Il2rb/Gata3/Il2ra/Cd3g	9
mmu04658	Organismal Systems	Immune system	mmu04658	Th1 and Th2 cell differentiation - Mus musculus (house mouse)	8/224	88/9478	0.00108758656150335	0.0766748525859862	0.0689758845585019	Stat1/Lck/Ppp3cc/Nfkb1/Il2rb/Gata3/Il2ra/Cd3g	8
mmu05222	Human Diseases	Cancer: specific types	mmu05222	Small cell lung cancer - Mus musculus (house mouse)	8/224	93/9478	0.00155818937989807	0.0827332655326938	0.0744259686203031	Pik3r1/Nfkb1/Bcl2l1/Casp3/Lamb3/Cdk6/Cks1b/Cks2	8
mmu04115	Cellular Processes	Cell growth and death	mmu04115	p53 signaling pathway - Mus musculus (house mouse)	7/224	74/9478	0.00176028224537646	0.0827332655326938	0.0744259686203031	Zmat3/Bcl2l1/Casp3/Aifm2/Cdk6/Ccnb2/Steap3	7
mmu04660	Organismal Systems	Immune system	mmu04660	T cell receptor signaling pathway - Mus musculus (house mouse)	9/224	122/9478	0.00236637073959616	0.0953309355094454	0.0857586989838609	Ctla4/Lck/Pik3r1/Ppp3cc/Il10/Nfkb1/Dlg1/Cd3g/Vav3	9
mmu04672	Organismal Systems	Immune system	mmu04672	Intestinal immune network for IgA production - Mus musculus (house mouse)	5/224	43/9478	0.00326592522362007	0.106439477341386	0.0957518254545506	Tnfrsf13b/Pigr/Cd86/Il10/Icosl	5
mmu04662	Organismal Systems	Immune system	mmu04662	B cell receptor signaling pathway - Mus musculus (house mouse)	7/224	83/9478	0.00339700459600169	0.106439477341386	0.0957518254545506	Cd72/Pik3r1/Ppp3cc/Nfkb1/Pik3ap1/Rasgrp3/Vav3	7
mmu05145	Human Diseases	Infectious disease: parasitic	mmu05145	Toxoplasmosis - Mus musculus (house mouse)	8/224	109/9478	0.00421593121656352	0.118889260307091	0.106951518230717	Stat1/Il10/Nfkb1/Bad/Bcl2l1/Casp3/Lamb3/Pik3cg	8
mmu05166	Human Diseases	Infectious disease: viral	mmu05166	Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)	13/224	247/9478	0.00576472664598876	0.14253357470564	0.128221692810971	Lck/Pik3r1/Ppp3cc/Nfkb1/Bcl2l1/Dlg1/Bub1b/Creb5/Il2rb/Ccnb2/Il2ra/Pttg1/Cd3g	13
mmu05140	Human Diseases	Infectious disease: parasitic	mmu05140	Leishmaniasis - Mus musculus (house mouse)	6/224	70/9478	0.00606525849811234	0.14253357470564	0.128221692810971	Stat1/Cybb/Il10/Fcgr4/Nfkb1/Marcksl1	6
mmu04814	Cellular Processes	Cell motility	mmu04814	Motor proteins - Mus musculus (house mouse)	11/224	196/9478	0.0067807526183172	0.147090172181958	0.132320759596311	Myo1e/Kif1b/Myl4/Cenpe/Dync2li1/Kif22/Dynll2/Kif13a/Myo10/Kif2c/Dnah17	11
mmu05212	Human Diseases	Cancer: specific types	mmu05212	Pancreatic cancer - Mus musculus (house mouse)	6/224	76/9478	0.00900162396752988	0.181318425631673	0.16311213354697	Stat1/Pik3r1/Nfkb1/Bad/Bcl2l1/Cdk6	6
mmu05417	Human Diseases	Cardiovascular disease	mmu05417	Lipid and atherosclerosis - Mus musculus (house mouse)	11/224	216/9478	0.0134888757281878	0.193890965514397	0.174422257144344	Cybb/Irf7/Hspa2/Pik3r1/Map3k5/Ppp3cc/Nfkb1/Bad/Bcl2l1/Casp3/Vav3	11
mmu00230	Metabolism	Nucleotide metabolism	mmu00230	Purine metabolism - Mus musculus (house mouse)	8/224	134/9478	0.0140417954567988	0.193890965514397	0.174422257144344	Nt5e/Xdh/Pde4b/Nme7/Pgm2/Lacc1/Ada/Hddc3	8
mmu01232	Metabolism	Global and overview maps	mmu01232	Nucleotide metabolism - Mus musculus (house mouse)	6/224	84/9478	0.0143379761222805	0.193890965514397	0.174422257144344	Nt5e/Xdh/Nme7/Nt5c3b/Lacc1/Ada	6
mmu05146	Human Diseases	Infectious disease: parasitic	mmu05146	Amoebiasis - Mus musculus (house mouse)	7/224	109/9478	0.0146005427698909	0.193890965514397	0.174422257144344	Vcl/Pik3r1/Gnal/Il10/Nfkb1/Casp3/Lamb3	7
mmu04210	Cellular Processes	Cell growth and death	mmu04210	Apoptosis - Mus musculus (house mouse)	8/224	136/9478	0.0152414666454847	0.193890965514397	0.174422257144344	Pik3r1/Map3k5/Ctsf/Nfkb1/Bad/Bcl2l1/Casp3/Birc5	8
mmu05167	Human Diseases	Infectious disease: viral	mmu05167	Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)	11/224	221/9478	0.0157652810139643	0.193890965514397	0.174422257144344	Stat1/Gng3/Irf7/Cd86/Pik3r1/Ppp3cc/Nfkb1/Il6st/Casp3/Cdk6/Pik3cg	11
mmu04625	Organismal Systems	Immune system	mmu04625	C-type lectin receptor signaling pathway - Mus musculus (house mouse)	7/224	112/9478	0.0167377783644736	0.193890965514397	0.174422257144344	Stat1/Irf1/Pik3r1/Ppp3cc/Il10/Nfkb1/Arhgef12	7
