category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
mmu04380	Organismal Systems	Development and regeneration	mmu04380	Osteoclast differentiation - Mus musculus (house mouse)	6/79	135/9468	0.000890909646228925	0.174618290660869	0.165052734459254	Fcgr2b/Socs3/Pira6/Csf1/Fcgr4/Fyn	6
mmu04662	Organismal Systems	Immune system	mmu04662	B cell receptor signaling pathway - Mus musculus (house mouse)	4/79	83/9468	0.00501119290958054	0.315714078613655	0.298419322427515	Fcgr2b/Cd72/Pira6/Rasgrp3	4
mmu05162	Human Diseases	Infectious disease: viral	mmu05162	Measles - Mus musculus (house mouse)	5/79	145/9468	0.00714904933746647	0.315714078613655	0.298419322427515	Fcgr2b/Cd3g/Il2rb/Slamf1/Oas1a	5
mmu04640	Organismal Systems	Immune system	mmu04640	Hematopoietic cell lineage - Mus musculus (house mouse)	4/79	94/9468	0.00776315082614559	0.315714078613655	0.298419322427515	Cd59a/Cd3g/Cd8b1/Csf1	4
mmu04061	Environmental Information Processing	Signaling molecules and interaction	mmu04061	Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)	4/79	95/9468	0.00805393057687894	0.315714078613655	0.298419322427515	Cxcl13/Il2rb/Ccr9/Csf1	4
mmu04010	Environmental Information Processing	Signal transduction	mmu04010	MAPK signaling pathway - Mus musculus (house mouse)	7/79	299/9468	0.0121557417418868	0.346256031734621	0.327288193261511	Ngfr/Hspb1/Cacna1d/Igf1r/Rasgrp3/Csf1/Stk3	7
mmu00532	Metabolism	Glycan biosynthesis and metabolism	mmu00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Mus musculus (house mouse)	2/79	21/9468	0.013027080599796	0.346256031734621	0.327288193261511	Chst7/Chst3	2
mmu04725	Organismal Systems	Nervous system	mmu04725	Cholinergic synapse - Mus musculus (house mouse)	4/79	112/9468	0.0141328992544743	0.346256031734621	0.327288193261511	Gnb3/Creb5/Cacna1d/Fyn	4
mmu04514	Environmental Information Processing	Signaling molecules and interaction	mmu04514	Cell adhesion molecules - Mus musculus (house mouse)	5/79	179/9468	0.0167035867841533	0.363767001077116	0.343839915089003	Spn/F11r/Ntng2/Cd8b1/Mag	5
mmu04927	Organismal Systems	Endocrine system	mmu04927	Cortisol synthesis and secretion - Mus musculus (house mouse)	3/79	72/9468	0.0220889117455404	0.432942670212592	0.409226154443696	Cyp11a1/Creb5/Cacna1d	3
mmu05135	Human Diseases	Infectious disease: bacterial	mmu05135	Yersinia infection - Mus musculus (house mouse)	4/79	135/9468	0.0261081697193595	0.465200114999497	0.439716542641845	Elmo1/Arhgef12/Cd8b1/Wipf3	4
mmu04015	Environmental Information Processing	Signal transduction	mmu04015	Rap1 signaling pathway - Mus musculus (house mouse)	5/79	214/9468	0.0329418400572052	0.476795589493987	0.450676819285401	Ngfr/Igf1r/Rasgrp3/Rapgef3/Csf1	5
mmu04060	Environmental Information Processing	Signaling molecules and interaction	mmu04060	Cytokine-cytokine receptor interaction - Mus musculus (house mouse)	6/79	294/9468	0.0357629014868865	0.476795589493987	0.450676819285401	Ngfr/Cxcl13/Il2rb/Ccr9/Tnfsf4/Csf1	6
mmu05340	Human Diseases	Immune disease	mmu05340	Primary immunodeficiency - Mus musculus (house mouse)	2/79	36/9468	0.0360672536255999	0.476795589493987	0.450676819285401	Aicda/Cd8b1	2
mmu05202	Human Diseases	Cancer: overview	mmu05202	Transcriptional misregulation in cancer - Mus musculus (house mouse)	5/79	224/9468	0.0389280429408536	0.476795589493987	0.450676819285401	Ngfr/Il2rb/Cdk14/Pbx3/Igf1r	5
mmu04110	Cellular Processes	Cell growth and death	mmu04110	Cell cycle - Mus musculus (house mouse)	4/79	155/9468	0.0403377948350839	0.476795589493987	0.450676819285401	Mcm6/Ndc80/Ttk/Ccnb1	4
mmu04520	Cellular Processes	Cellular community - eukaryotes	mmu04520	Adherens junction - Mus musculus (house mouse)	3/79	92/9468	0.0413547194969275	0.476795589493987	0.450676819285401	Fer/Igf1r/Fyn	3
mmu04014	Environmental Information Processing	Signal transduction	mmu04014	Ras signaling pathway - Mus musculus (house mouse)	5/79	235/9468	0.0462389025349368	0.48813027774694	0.461390595507311	Gnb3/Ngfr/Igf1r/Rasgrp3/Csf1	5
mmu00514	Metabolism	Glycan biosynthesis and metabolism	mmu00514	Other types of O-glycan biosynthesis - Mus musculus (house mouse)	2/79	43/9468	0.0498092120149938	0.48813027774694	0.461390595507311	B4galt3/Gxylt1	2
mmu04672	Organismal Systems	Immune system	mmu04672	Intestinal immune network for IgA production - Mus musculus (house mouse)	2/79	43/9468	0.0498092120149938	0.48813027774694	0.461390595507311	Aicda/Ccr9	2
mmu04925	Organismal Systems	Endocrine system	mmu04925	Aldosterone synthesis and secretion - Mus musculus (house mouse)	3/79	102/9468	0.0533345724694539	0.497789343048236	0.470520539078891	Cyp11a1/Creb5/Cacna1d	3
mmu04930	Human Diseases	Endocrine and metabolic disease	mmu04930	Type II diabetes mellitus - Mus musculus (house mouse)	2/79	48/9468	0.0605954975129449	0.539850796024418	0.51027787379322	Socs3/Cacna1d	2
mmu04668	Environmental Information Processing	Signal transduction	mmu04668	TNF signaling pathway - Mus musculus (house mouse)	3/79	114/9468	0.0696602108749503	0.593626144847403	0.561107419404634	Socs3/Creb5/Csf1	3
mmu04935	Organismal Systems	Endocrine system	mmu04935	Growth hormone synthesis, secretion and action - Mus musculus (house mouse)	3/79	117/9468	0.0740581158964239	0.594771491195922	0.562190023901623	Socs3/Creb5/Cacna1d	3
mmu04062	Organismal Systems	Immune system	mmu04062	Chemokine signaling pathway - Mus musculus (house mouse)	4/79	192/9468	0.0762940175217594	0.594771491195922	0.562190023901623	Gnb3/Elmo1/Cxcl13/Ccr9	4
mmu04660	Organismal Systems	Immune system	mmu04660	T cell receptor signaling pathway - Mus musculus (house mouse)	3/79	122/9468	0.0816565477687556	0.594771491195922	0.562190023901623	Cd3g/Cd8b1/Fyn	3
mmu04151	Environmental Information Processing	Signal transduction	mmu04151	PI3K-Akt signaling pathway - Mus musculus (house mouse)	6/79	364/9468	0.0828685390260702	0.594771491195922	0.562190023901623	Gnb3/Ngfr/Creb5/Il2rb/Igf1r/Csf1	6
mmu05034	Human Diseases	Substance dependence	mmu05034	Alcoholism - Mus musculus (house mouse)	4/79	205/9468	0.0918011554101696	0.594771491195922	0.562190023901623	Gnb3/Creb5/Hdac9/Camkk1	4
mmu04726	Organismal Systems	Nervous system	mmu04726	Serotonergic synapse - Mus musculus (house mouse)	3/79	131/9468	0.096142752205213	0.594771491195922	0.562190023901623	Gnb3/Cacna1d/Rapgef3	3
mmu04913	Organismal Systems	Endocrine system	mmu04913	Ovarian steroidogenesis - Mus musculus (house mouse)	2/79	63/9468	0.0969598303435845	0.594771491195922	0.562190023901623	Cyp11a1/Igf1r	2
mmu04915	Organismal Systems	Endocrine system	mmu04915	Estrogen signaling pathway - Mus musculus (house mouse)	3/79	133/9468	0.0994968325833793	0.594771491195922	0.562190023901623	Esr1/Creb5/Oprm1	3
mmu00230	Metabolism	Nucleotide metabolism	mmu00230	Purine metabolism - Mus musculus (house mouse)	3/79	134/9468	0.101191604297605	0.594771491195922	0.562190023901623	Nt5e/Lacc1/Hddc3	3
mmu04728	Organismal Systems	Nervous system	mmu04728	Dopaminergic synapse - Mus musculus (house mouse)	3/79	135/9468	0.102898045992565	0.594771491195922	0.562190023901623	Gnb3/Creb5/Cacna1d	3
mmu00533	Metabolism	Glycan biosynthesis and metabolism	mmu00533	Glycosaminoglycan biosynthesis - keratan sulfate - Mus musculus (house mouse)	1/79	14/9468	0.110757723123492	0.594771491195922	0.562190023901623	B4galt3	1
mmu04550	Cellular Processes	Cellular community - eukaryotes	mmu04550	Signaling pathways regulating pluripotency of stem cells - Mus musculus (house mouse)	3/79	140/9468	0.111601297643138	0.594771491195922	0.562190023901623	Id3/Lefty1/Igf1r	3
mmu05031	Human Diseases	Substance dependence	mmu05031	Amphetamine addiction - Mus musculus (house mouse)	2/79	69/9468	0.112880484446878	0.594771491195922	0.562190023901623	Creb5/Cacna1d	2
mmu00604	Metabolism	Glycan biosynthesis and metabolism	mmu00604	Glycosphingolipid biosynthesis - ganglio series - Mus musculus (house mouse)	1/79	15/9468	0.11818845507539	0.594771491195922	0.562190023901623	St6galnac3	1
mmu00982	Metabolism	Xenobiotics biodegradation and metabolism	mmu00982	Drug metabolism - cytochrome P450 - Mus musculus (house mouse)	2/79	71/9468	0.118330553871728	0.594771491195922	0.562190023901623	Fmo5/Gstm1	2
mmu05207	Human Diseases	Cancer: overview	mmu05207	Chemical carcinogenesis - receptor activation - Mus musculus (house mouse)	4/79	225/9468	0.118347388554291	0.594771491195922	0.562190023901623	Esr1/Creb5/Cacna1d/Gstm1	4
mmu04120	Genetic Information Processing	Folding, sorting and degradation	mmu04120	Ubiquitin mediated proteolysis - Mus musculus (house mouse)	3/79	148/9468	0.126091274231957	0.605338936330133	0.572178586434497	Socs3/Mid1/Herc3	3
mmu04917	Organismal Systems	Endocrine system	mmu04917	Prolactin signaling pathway - Mus musculus (house mouse)	2/79	74/9468	0.126627022395589	0.605338936330133	0.572178586434497	Socs3/Esr1	2
mmu04261	Organismal Systems	Circulatory system	mmu04261	Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse)	3/79	156/9468	0.141223558326828	0.620814082775803	0.586806007349846	Creb5/Cacna1d/Rapgef3	3
mmu04934	Human Diseases	Endocrine and metabolic disease	mmu04934	Cushing syndrome - Mus musculus (house mouse)	3/79	162/9468	0.152957601187325	0.620814082775803	0.586806007349846	Cyp11a1/Creb5/Cacna1d	3
mmu01232	Metabolism	Global and overview maps	mmu01232	Nucleotide metabolism - Mus musculus (house mouse)	2/79	84/9468	0.155192281837005	0.620814082775803	0.586806007349846	Nt5e/Lacc1	2
mmu04911	Organismal Systems	Endocrine system	mmu04911	Insulin secretion - Mus musculus (house mouse)	2/79	86/9468	0.161048796457371	0.620814082775803	0.586806007349846	Creb5/Cacna1d	2
mmu04658	Organismal Systems	Immune system	mmu04658	Th1 and Th2 cell differentiation - Mus musculus (house mouse)	2/79	88/9468	0.166945927413653	0.620814082775803	0.586806007349846	Cd3g/Il2rb	2
mmu00430	Metabolism	Metabolism of other amino acids	mmu00430	Taurine and hypotaurine metabolism - Mus musculus (house mouse)	1/79	22/9468	0.168514490876968	0.620814082775803	0.586806007349846	Fmo5	1
mmu04727	Organismal Systems	Nervous system	mmu04727	GABAergic synapse - Mus musculus (house mouse)	2/79	89/9468	0.16990881015483	0.620814082775803	0.586806007349846	Gnb3/Cacna1d	2
mmu04211	Organismal Systems	Aging	mmu04211	Longevity regulating pathway - Mus musculus (house mouse)	2/79	90/9468	0.172880760835268	0.620814082775803	0.586806007349846	Creb5/Igf1r	2
mmu00515	Metabolism	Glycan biosynthesis and metabolism	mmu00515	Mannose type O-glycan biosynthesis - Mus musculus (house mouse)	1/79	23/9468	0.17546847724376	0.620814082775803	0.586806007349846	B4galt3	1
mmu05032	Human Diseases	Substance dependence	mmu05032	Morphine addiction - Mus musculus (house mouse)	2/79	91/9468	0.175861428229297	0.620814082775803	0.586806007349846	Gnb3/Oprm1	2
mmu04914	Organismal Systems	Endocrine system	mmu04914	Progesterone-mediated oocyte maturation - Mus musculus (house mouse)	2/79	92/9468	0.178850466201127	0.620814082775803	0.586806007349846	Igf1r/Ccnb1	2
mmu01522	Human Diseases	Drug resistance: antineoplastic	mmu01522	Endocrine resistance - Mus musculus (house mouse)	2/79	93/9468	0.181847533646188	0.620814082775803	0.586806007349846	Esr1/Igf1r	2
mmu04666	Organismal Systems	Immune system	mmu04666	Fc gamma R-mediated phagocytosis - Mus musculus (house mouse)	2/79	93/9468	0.181847533646188	0.620814082775803	0.586806007349846	Fcgr2b/Fcgr4	2
mmu00534	Metabolism	Glycan biosynthesis and metabolism	mmu00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Mus musculus (house mouse)	1/79	24/9468	0.182365035242463	0.620814082775803	0.586806007349846	Hs3st1	1
mmu04144	Cellular Processes	Transport and catabolism	mmu04144	Endocytosis - Mus musculus (house mouse)	4/79	268/9468	0.184921703127814	0.620814082775803	0.586806007349846	Il2rb/Wipf3/Igf1r/Ehd2	4
mmu05020	Human Diseases	Neurodegenerative disease	mmu05020	Prion disease - Mus musculus (house mouse)	4/79	268/9468	0.184921703127814	0.620814082775803	0.586806007349846	Prnp/Creb5/Cacna1d/Fyn	4
mmu05152	Human Diseases	Infectious disease: bacterial	mmu05152	Tuberculosis - Mus musculus (house mouse)	3/79	180/9468	0.189864381068459	0.620814082775803	0.586806007349846	Fcgr2b/Arhgef12/Fcgr4	3
mmu04360	Organismal Systems	Development and regeneration	mmu04360	Axon guidance - Mus musculus (house mouse)	3/79	181/9468	0.191980391234854	0.620814082775803	0.586806007349846	Ntng2/Arhgef12/Fyn	3
mmu00790	Metabolism	Metabolism of cofactors and vitamins	mmu00790	Folate biosynthesis - Mus musculus (house mouse)	1/79	26/9468	0.195987735295695	0.620814082775803	0.586806007349846	Ggh	1
mmu04713	Organismal Systems	Environmental adaptation	mmu04713	Circadian entrainment - Mus musculus (house mouse)	2/79	98/9468	0.196941719230606	0.620814082775803	0.586806007349846	Gnb3/Cacna1d	2
mmu05215	Human Diseases	Cancer: specific types	mmu05215	Prostate cancer - Mus musculus (house mouse)	2/79	99/9468	0.199980074827516	0.620814082775803	0.586806007349846	Creb5/Igf1r	2
mmu00601	Metabolism	Glycan biosynthesis and metabolism	mmu00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Mus musculus (house mouse)	1/79	27/9468	0.202714802539038	0.620814082775803	0.586806007349846	B4galt3	1
mmu04392	Environmental Information Processing	Signal transduction	mmu04392	Hippo signaling pathway - multiple species - Mus musculus (house mouse)	1/79	27/9468	0.202714802539038	0.620814082775803	0.586806007349846	Stk3	1
mmu01523	Human Diseases	Drug resistance: antineoplastic	mmu01523	Antifolate resistance - Mus musculus (house mouse)	1/79	29/9468	0.216002656570164	0.640283578087103	0.605208967472234	Ggh	1
mmu04659	Organismal Systems	Immune system	mmu04659	Th17 cell differentiation - Mus musculus (house mouse)	2/79	105/9468	0.218321098600299	0.640283578087103	0.605208967472234	Cd3g/Il2rb	2
mmu05146	Human Diseases	Infectious disease: parasitic	mmu05146	Amoebiasis - Mus musculus (house mouse)	2/79	107/9468	0.224470041838616	0.640283578087103	0.605208967472234	Hspb1/Serpinb9	2
mmu04928	Organismal Systems	Endocrine system	mmu04928	Parathyroid hormone synthesis, secretion and action - Mus musculus (house mouse)	2/79	108/9468	0.227549867443495	0.640283578087103	0.605208967472234	Creb5/Slc34a1	2
mmu04350	Environmental Information Processing	Signal transduction	mmu04350	TGF-beta signaling pathway - Mus musculus (house mouse)	2/79	110/9468	0.23371888604275	0.640283578087103	0.605208967472234	Id3/Lefty1	2
mmu04931	Human Diseases	Endocrine and metabolic disease	mmu04931	Insulin resistance - Mus musculus (house mouse)	2/79	110/9468	0.23371888604275	0.640283578087103	0.605208967472234	Socs3/Creb5	2
