"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009987","BP","GO:0009987","cellular process","77/87","17623/28905",1.11092530821465e-08,2.58401226690727e-05,1.92248548074198e-05,"Lmtk2/Zfp868/Ctse/Cd209a/Hba-a1/Ddit4/Lgals8/Fkbp5/Klhl41/Pid1/Gprc5b/Oxa1l/Dhrs3/Ccr2/Pacsin1/Cnr2/Cd300lb/Ctla4/Ehd3/Il21r/Nod1/Cd200r1/Ccl9/Ocel1/Frmd5/Pde2a/Sptb/Ifi204/Zfp1/Trim40/Errfi1/Trappc10/Card6/Arhgef10/Cpt1a/Calcrl/Ank/Unc119b/Rnf122/Phactr2/Extl3/Rasgef1b/Tdg/Fam174b/Pskh1/Ifitm2/Ncs1/Serpine2/Tfip11/Lima1/Zfp273/Sorl1/Zfp74/Wee1/Krt80/Creb3l2/Mex3d/Zfp281/Mios/Cyth3/Ppp4r2/Wls/Scamp1/Samd11/Rec8/Matk/Mkrn1/Slc15a2/Hmox1/Upf1/Abcb9/Socs4/Ifitm3/Ahi1/Tapt1/Ccnb2/Dffb",77
"GO:0050794","BP","GO:0050794","regulation of cellular process","60/87","11938/28905",1.64856682369844e-07,0.000132538467396485,9.86076120739566e-05,"Lmtk2/Zfp868/Cd209a/Ddit4/Lgals8/Klhl41/Pid1/Gprc5b/Dhrs3/Ccr2/Pacsin1/Cnr2/Cd300lb/Ctla4/Ehd3/Il21r/Nod1/Cd200r1/Ccl9/Frmd5/Pde2a/Sptb/Ifi204/Zfp1/Trim40/Errfi1/Card6/Arhgef10/Cpt1a/Calcrl/Rnf122/Extl3/Rasgef1b/Tdg/Ifitm2/Ncs1/Serpine2/Tfip11/Lima1/Zfp273/Sorl1/Zfp74/Wee1/Creb3l2/Mex3d/Zfp281/Mios/Cyth3/Ppp4r2/Wls/Samd11/Slc15a2/Hmox1/Upf1/Socs4/Ifitm3/Ahi1/Tapt1/Ccnb2/Dffb",60
"GO:0065007","BP","GO:0065007","biological regulation","63/87","12967/28905",1.70943853047917e-07,0.000132538467396485,9.86076120739566e-05,"Lmtk2/Zfp868/Cd209a/Ddit4/Lgals8/Klhl41/Pid1/Gprc5b/Oxa1l/Dhrs3/Ccr2/Pacsin1/Cnr2/Cd300lb/Ctla4/Ehd3/Il21r/Nod1/Cd200r1/Ccl9/Frmd5/Pde2a/Tbc1d22a/Sptb/Ifi204/Zfp1/Trim40/Errfi1/Card6/Arhgef10/Cpt1a/Calcrl/Ank/Rnf122/Extl3/Rasgef1b/Tdg/Ifitm2/Ncs1/Serpine2/Tfip11/Lima1/Zfp273/Sorl1/Zfp74/Wee1/Creb3l2/Mex3d/Zfp281/Mios/Cyth3/Ppp4r2/Wls/Samd11/Slc15a2/Hmox1/Upf1/Socs4/Ifitm3/Ahi1/Tapt1/Ccnb2/Dffb",63
"GO:0050789","BP","GO:0050789","regulation of biological process","61/87","12570/28905",4.53516876429311e-07,0.000263720063643644,0.000196205722328891,"Lmtk2/Zfp868/Cd209a/Ddit4/Lgals8/Klhl41/Pid1/Gprc5b/Dhrs3/Ccr2/Pacsin1/Cnr2/Cd300lb/Ctla4/Ehd3/Il21r/Nod1/Cd200r1/Ccl9/Frmd5/Pde2a/Sptb/Ifi204/Zfp1/Trim40/Errfi1/Card6/Arhgef10/Cpt1a/Calcrl/Ank/Rnf122/Extl3/Rasgef1b/Tdg/Ifitm2/Ncs1/Serpine2/Tfip11/Lima1/Zfp273/Sorl1/Zfp74/Wee1/Creb3l2/Mex3d/Zfp281/Mios/Cyth3/Ppp4r2/Wls/Samd11/Slc15a2/Hmox1/Upf1/Socs4/Ifitm3/Ahi1/Tapt1/Ccnb2/Dffb",61
"GO:0048856","BP","GO:0048856","anatomical structure development","40/87","6478/28905",9.79704858180677e-07,0.000455758700025651,0.000339081007757691,"Lmtk2/Hba-a1/Ddit4/Lgals8/Klhl41/Gprc5b/Dhrs3/Ccr2/Pacsin1/Ctla4/Ccl9/Pde2a/Sptb/Ifi204/Errfi1/Arhgef10/Calcrl/Ank/Unc119b/Extl3/Tdg/Pskh1/Ncs1/Serpine2/Tfip11/Sorl1/Wee1/Krt80/Creb3l2/Zfp281/Mios/Ppp4r2/Wls/Samd11/Rec8/Hmox1/Ahi1/Tapt1/Ccnb2/Etl4",40
"GO:0007275","BP","GO:0007275","multicellular organism development","35/87","5241/28905",1.18949762493992e-06,0.000461128579268377,0.000343076157087936,"Lmtk2/Hba-a1/Ddit4/Lgals8/Gprc5b/Dhrs3/Ccr2/Pacsin1/Ctla4/Ccl9/Pde2a/Ifi204/Errfi1/Arhgef10/Calcrl/Ank/Unc119b/Extl3/Tdg/Pskh1/Ncs1/Serpine2/Sorl1/Wee1/Creb3l2/Zfp281/Mios/Wls/Samd11/Rec8/Hmox1/Ahi1/Tapt1/Ccnb2/Etl4",35
"GO:0090594","BP","GO:0090594","inflammatory response to wounding","4/87","31/28905",2.26357194247166e-06,0.000752152619741297,0.000559595830589986,"Ccr2/Clec10a/Extl3/Hmox1",4
"GO:0002246","BP","GO:0002246","wound healing involved in inflammatory response","3/87","11/28905",4.27039718348637e-06,0.00124161798109866,0.000923754338112052,"Ccr2/Clec10a/Hmox1",3
"GO:0032502","BP","GO:0032502","developmental process","40/87","6904/28905",5.32918932840971e-06,0.00137729937532011,0.0010247002638486,"Lmtk2/Hba-a1/Ddit4/Lgals8/Klhl41/Gprc5b/Dhrs3/Ccr2/Pacsin1/Ctla4/Ccl9/Pde2a/Sptb/Ifi204/Errfi1/Arhgef10/Calcrl/Ank/Unc119b/Extl3/Tdg/Pskh1/Ncs1/Serpine2/Tfip11/Sorl1/Wee1/Krt80/Creb3l2/Zfp281/Mios/Ppp4r2/Wls/Samd11/Rec8/Hmox1/Ahi1/Tapt1/Ccnb2/Etl4",40
"GO:0006952","BP","GO:0006952","defense response","18/87","1892/28905",1.1204976734432e-05,0.00237507669787166,0.00176703900588361,"Ddit4/Lgals8/Gprc5b/Ccr2/Cnr2/Clec10a/Nod1/Cd200r1/Ccl9/Pde2a/Clec4a1/Ifi204/Trim40/Extl3/Ifitm2/Slc15a2/Hmox1/Ifitm3",18
