"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009987","BP","GO:0009987","cellular process","79/88","17623/28905",1.46066920667698e-09,3.68818974685936e-06,2.4323986157505e-06,"Fcer1g/Bcl11a/Rpgrip1/Jun/B4galt3/Pik3c2b/Adk/Ifnar1/Ccl22/Ckb/Mag/Hsh2d/Tubb2a/Mall/Pear1/Fcgr2b/Rgs18/Itga5/Pex19/Rnpep/Elmo1/Tep1/Sema4a/Ggh/Cish/Anxa1/Ffar4/Rbm45/Haus8/Slc34a1/Cd36/Pira6/Slfn1/Eif2s3y/Gm14137/Sh2d1b1/Ngfr/S100a4/Esr1/Sirpa/Slc44a4/Tmem64/Ap4s1/Mcm5/Tgtp2/Chaf1b/Mid1/Dnph1/Rgs13/Gchfr/Bhlhe40/Ak8/Ptpn14/Serpinb9/Dhcr7/Axl/Pcyt1a/Paqr7/Gstm4/Rangrf/Tubb3/Mrc1/Slc41a2/Stxbp6/Sdcbp2/Apobr/Spns3/Myo1f/Tpx2/Pkib/Ppih/Ttk/Rps6kl1/Gm6377/Hspa1a/Trpm2/Gpr35/Heatr1/Lysmd3",79
"GO:0006909","BP","GO:0006909","phagocytosis","8/88","239/28905",7.06804752777309e-07,0.00084213926016458,0.000555399399512398,"Fcer1g/Pear1/Fcgr2b/Elmo1/Anxa1/Cd36/Sirpa/Axl",8
"GO:0071840","BP","GO:0071840","cellular component organization or biogenesis","41/88","6717/28905",1.27286719972655e-06,0.00084213926016458,0.000555399399512398,"Fcer1g/Bcl11a/Rpgrip1/Jun/Pik3c2b/Mag/Tubb2a/Fcgr2b/Itga5/Pex19/Elmo1/Tep1/Sema4a/Anxa1/Haus8/Cd36/Eif2s3y/Gm14137/Ngfr/Esr1/Sirpa/Slc44a4/Mcm5/Chaf1b/Mid1/Dnph1/Gchfr/Axl/Rangrf/Tubb3/Stxbp6/Myo1f/Tpx2/Pkib/Ttk/Gm6377/Hspa1a/Trpm2/Gpr35/Heatr1/Lysmd3",41
"GO:0016043","BP","GO:0016043","cellular component organization","40/88","6506/28905",1.58172822260045e-06,0.00084213926016458,0.000555399399512398,"Fcer1g/Bcl11a/Rpgrip1/Jun/Pik3c2b/Mag/Tubb2a/Fcgr2b/Itga5/Pex19/Elmo1/Tep1/Sema4a/Anxa1/Haus8/Cd36/Eif2s3y/Gm14137/Ngfr/Esr1/Sirpa/Slc44a4/Mcm5/Chaf1b/Mid1/Dnph1/Gchfr/Axl/Rangrf/Tubb3/Stxbp6/Myo1f/Tpx2/Pkib/Ttk/Gm6377/Hspa1a/Trpm2/Gpr35/Lysmd3",40
"GO:0006911","BP","GO:0006911","phagocytosis, engulfment","5/88","65/28905",1.66760249537541e-06,0.00084213926016458,0.000555399399512398,"Fcer1g/Fcgr2b/Elmo1/Cd36/Sirpa",5
"GO:2000106","BP","GO:2000106","regulation of leukocyte apoptotic process","6/88","126/28905",2.46231381085478e-06,0.00103622372873472,0.000683400078731976,"Fcer1g/Hsh2d/Fcgr2b/Anxa1/Serpinb9/Axl",6
"GO:0099024","BP","GO:0099024","plasma membrane invagination","5/88","74/28905",3.18301669101004e-06,0.00114815959211434,0.000757222918071863,"Fcer1g/Fcgr2b/Elmo1/Cd36/Sirpa",5
"GO:0001775","BP","GO:0001775","cell activation","15/88","1245/28905",4.95415151664687e-06,0.00133556992031946,0.000880821933901154,"Fcer1g/Bcl11a/Jun/Adk/Ifnar1/Hsh2d/Pear1/Fcgr2b/Sema4a/Anxa1/Slfn1/Sh2d1b1/Sirpa/Axl/Myo1f",15
"GO:0034614","BP","GO:0034614","cellular response to reactive oxygen species","6/88","143/28905",5.12306371889556e-06,0.00133556992031946,0.000880821933901154,"Jun/Anxa1/Cd36/Sirpa/Axl/Trpm2",6
"GO:0010324","BP","GO:0010324","membrane invagination","5/88","82/28905",5.28938582304738e-06,0.00133556992031946,0.000880821933901154,"Fcer1g/Fcgr2b/Elmo1/Cd36/Sirpa",5
