"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009987","BP","GO:0009987","cellular process","156/175","17623/28905",6.58782354339038e-17,2.27411668717836e-13,1.54571143981233e-13,"Lmtk2/Zfp868/Ctse/Fcer1g/Bcl11a/Rpgrip1/Cd209a/Jun/B4galt3/Pik3c2b/Hba-a1/Adk/Ifnar1/Ccl22/Ddit4/Ckb/Lgals8/Mag/Hsh2d/Tubb2a/Mall/Pear1/Fcgr2b/Fkbp5/Rgs18/Itga5/Pex19/Rnpep/Elmo1/Tep1/Sema4a/Ggh/Cish/Klhl41/Pid1/Anxa1/Ffar4/Rbm45/Gprc5b/Haus8/Oxa1l/Slc34a1/Cd36/Dhrs3/Ccr2/Pacsin1/Cnr2/Cd300lb/Pira6/Ctla4/Ehd3/Il21r/Nod1/Cd200r1/Ccl9/Ocel1/Slfn1/Frmd5/Pde2a/Eif2s3y/Gm14137/Sh2d1b1/Ngfr/S100a4/Sptb/Ifi204/Zfp1/Trim40/Errfi1/Trappc10/Esr1/Sirpa/Slc44a4/Card6/Tmem64/Ap4s1/Mcm5/Tgtp2/Chaf1b/Arhgef10/Cpt1a/Calcrl/Ank/Unc119b/Mid1/Rnf122/Dnph1/Phactr2/Extl3/Rasgef1b/Rgs13/Tdg/Gchfr/Fam174b/Pskh1/Ifitm2/Ncs1/Serpine2/Tfip11/Lima1/Bhlhe40/Zfp273/Sorl1/Ak8/Ptpn14/Zfp74/Wee1/Serpinb9/Krt80/Dhcr7/Creb3l2/Axl/Pcyt1a/Mex3d/Zfp281/Mios/Cyth3/Ppp4r2/Paqr7/Wls/Gstm4/Scamp1/Samd11/Rangrf/Tubb3/Mrc1/Slc41a2/Stxbp6/Sdcbp2/Rec8/Matk/Mkrn1/Slc15a2/Apobr/Spns3/Myo1f/Hmox1/Upf1/Abcb9/Socs4/Ifitm3/Tpx2/Ahi1/Tapt1/Ccnb2/Pkib/Dffb/Ppih/Ttk/Rps6kl1/Gm6377/Hspa1a/Trpm2/Gpr35/Heatr1/Lysmd3",156
"GO:0016043","BP","GO:0016043","cellular component organization","77/175","6506/28905",2.11385333565823e-10,3.64851085734611e-07,2.47988372904326e-07,"Lmtk2/Fcer1g/Bcl11a/Rpgrip1/Jun/Pik3c2b/Ddit4/Mag/Tubb2a/Fcgr2b/Itga5/Pex19/Elmo1/Tep1/Sema4a/Klhl41/Pid1/Anxa1/Gprc5b/Haus8/Oxa1l/Cd36/Pacsin1/Ehd3/Ocel1/Frmd5/Pde2a/Eif2s3y/Gm14137/Ngfr/Sptb/Ifi204/Trim40/Trappc10/Esr1/Sirpa/Slc44a4/Mcm5/Chaf1b/Arhgef10/Unc119b/Mid1/Dnph1/Phactr2/Extl3/Tdg/Gchfr/Fam174b/Ncs1/Serpine2/Tfip11/Lima1/Sorl1/Wee1/Krt80/Creb3l2/Axl/Mios/Wls/Rangrf/Tubb3/Stxbp6/Rec8/Myo1f/Upf1/Tpx2/Ahi1/Tapt1/Ccnb2/Pkib/Dffb/Ttk/Gm6377/Hspa1a/Trpm2/Gpr35/Lysmd3",77
"GO:0071840","BP","GO:0071840","cellular component organization or biogenesis","78/175","6717/28905",3.77088317768358e-10,4.33902957645457e-07,2.9492275800199e-07,"Lmtk2/Fcer1g/Bcl11a/Rpgrip1/Jun/Pik3c2b/Ddit4/Mag/Tubb2a/Fcgr2b/Itga5/Pex19/Elmo1/Tep1/Sema4a/Klhl41/Pid1/Anxa1/Gprc5b/Haus8/Oxa1l/Cd36/Pacsin1/Ehd3/Ocel1/Frmd5/Pde2a/Eif2s3y/Gm14137/Ngfr/Sptb/Ifi204/Trim40/Trappc10/Esr1/Sirpa/Slc44a4/Mcm5/Chaf1b/Arhgef10/Unc119b/Mid1/Dnph1/Phactr2/Extl3/Tdg/Gchfr/Fam174b/Ncs1/Serpine2/Tfip11/Lima1/Sorl1/Wee1/Krt80/Creb3l2/Axl/Mios/Wls/Rangrf/Tubb3/Stxbp6/Rec8/Myo1f/Upf1/Tpx2/Ahi1/Tapt1/Ccnb2/Pkib/Dffb/Ttk/Gm6377/Hspa1a/Trpm2/Gpr35/Heatr1/Lysmd3",78
"GO:0065007","BP","GO:0065007","biological regulation","118/175","12967/28905",1.31375088152069e-09,1.13376701075235e-06,7.7061860918674e-07,"Lmtk2/Zfp868/Fcer1g/Bcl11a/Cd209a/Jun/Pik3c2b/Adk/Ifnar1/Ccl22/Ddit4/Lgals8/Mag/Hsh2d/Pear1/Fcgr2b/Rgs18/Itga5/Pex19/Rnpep/Elmo1/Sema4a/Cish/Klhl41/Pid1/Anxa1/Ffar4/Gprc5b/Oxa1l/Slc34a1/Cd36/Dhrs3/Ccr2/Pacsin1/Cnr2/Cd300lb/Pira6/Ctla4/Osbpl6/Ehd3/Il21r/Nod1/Cd200r1/Ccl9/Slfn1/Frmd5/Pde2a/Gm14137/Sh2d1b1/Ngfr/S100a4/Tbc1d22a/Sptb/Ifi204/Zfp1/Trim40/Errfi1/Esr1/Sirpa/Slc44a4/Card6/Tmem64/Arhgef10/Cpt1a/Calcrl/Ank/Mid1/Rnf122/Dnph1/Extl3/Rasgef1b/Rgs13/Tdg/Gchfr/Ifitm2/Ncs1/Serpine2/Tfip11/Lima1/Bhlhe40/Zfp273/Sorl1/Ptpn14/Zfp74/Wee1/Serpinb9/Dhcr7/Creb3l2/Axl/Mex3d/Zfp281/Mios/Cyth3/Ppp4r2/Wls/Samd11/Rangrf/Tubb3/Stxbp6/Slc15a2/Myo1f/Hmox1/Upf1/Socs4/Ifitm3/Tpx2/Ahi1/Tapt1/Ccnb2/Pkib/Dffb/Ppih/Ttk/Gm6377/Hspa1a/Trpm2/Gpr35/Heatr1",118
"GO:0006952","BP","GO:0006952","defense response","35/175","1892/28905",2.62334623556095e-09,1.81115824103128e-06,1.2310397387506e-06,"Fcer1g/Jun/Ifnar1/Ccl22/Ddit4/Lgals8/Fcgr2b/Anxa1/Ffar4/Gprc5b/Cd36/Ccr2/Cnr2/Clec10a/Nod1/Cd200r1/Ccl9/Pde2a/Sh2d1b1/Clec4a1/Ifi204/Tpsb2/Trim40/Esr1/Sirpa/Tgtp2/Extl3/Ifitm2/Serpinb9/Axl/Mrc1/Slc15a2/Myo1f/Hmox1/Ifitm3",35
"GO:0009605","BP","GO:0009605","response to external stimulus","45/175","2932/28905",3.20634596164343e-09,1.84471770993218e-06,1.25385002605319e-06,"Fcer1g/Jun/Pik3c2b/Hba-a1/Ifnar1/Ccl22/Ddit4/Lgals8/Fcgr2b/Fkbp5/Sema4a/Anxa1/Ffar4/Gprc5b/Slc34a1/Cd36/Ccr2/Cnr2/Cd300lb/Nod1/Cd200r1/Ccl9/Pde2a/Sh2d1b1/Ngfr/Clec4a1/Ifi204/Trim40/Esr1/Sirpa/Tgtp2/Extl3/Ifitm2/Serpine2/Bhlhe40/Sorl1/Serpinb9/Axl/Mios/Mrc1/Slc15a2/Myo1f/Ifitm3/Trpm2/Gpr35",45
"GO:0006950","BP","GO:0006950","response to stress","54/175","3980/28905",4.2091636130592e-09,2.07571897032577e-06,1.4108610065427e-06,"Fcer1g/Jun/Pik3c2b/Ifnar1/Ccl22/Ddit4/Lgals8/Mag/Pear1/Fcgr2b/Anxa1/Ffar4/Gprc5b/Slc34a1/Cd36/Ccr2/Cnr2/Ctla4/Clec10a/Nod1/Cd200r1/Ccl9/Pde2a/Sh2d1b1/Ngfr/Clec4a1/Ifi204/Tpsb2/Trim40/Errfi1/Esr1/Sirpa/Mcm5/Tgtp2/Chaf1b/Mid1/Extl3/Tdg/Ifitm2/Serpine2/Serpinb9/Creb3l2/Axl/Mios/Ppp4r2/Mrc1/Rec8/Slc15a2/Myo1f/Hmox1/Upf1/Ifitm3/Hspa1a/Trpm2",54
"GO:0002376","BP","GO:0002376","immune system process","45/175","2984/28905",5.52868952803921e-09,2.38562953134892e-06,1.62150644184203e-06,"Ctse/Fcer1g/Bcl11a/Cd209a/Jun/Hba-a1/Adk/Ifnar1/Ccl22/Lgals8/Hsh2d/Fcgr2b/Sema4a/Anxa1/Gprc5b/Cd36/Ccr2/Cnr2/Cd300lb/Pira6/Ctla4/Il21r/Nod1/Cd200r1/Ccl9/Slfn1/Sh2d1b1/Clec4a1/Ifi204/Trim40/Esr1/Sirpa/Tmem64/Ifitm2/Fcgrt/Serpinb9/Axl/Mrc1/Slc15a2/Myo1f/Hmox1/Ifitm3/Ccnb2/Trpm2/Gpr35",45
"GO:0051128","BP","GO:0051128","regulation of cellular component organization","41/175","2632/28905",1.29066831036252e-08,4.72595487579181e-06,3.21221974084892e-06,"Fcer1g/Bcl11a/Mag/Fcgr2b/Sema4a/Anxa1/Gprc5b/Cd36/Pacsin1/Ehd3/Pde2a/Gm14137/Ngfr/Sptb/Ifi204/Trim40/Esr1/Sirpa/Slc44a4/Arhgef10/Mid1/Dnph1/Extl3/Ncs1/Serpine2/Tfip11/Lima1/Sorl1/Creb3l2/Axl/Wls/Stxbp6/Myo1f/Upf1/Tpx2/Ahi1/Tapt1/Pkib/Ttk/Hspa1a/Trpm2",41
"GO:0050789","BP","GO:0050789","regulation of biological process","113/175","12570/28905",1.44812474454347e-08,4.72595487579181e-06,3.21221974084892e-06,"Lmtk2/Zfp868/Fcer1g/Bcl11a/Cd209a/Jun/Pik3c2b/Adk/Ifnar1/Ccl22/Ddit4/Lgals8/Mag/Hsh2d/Pear1/Fcgr2b/Rgs18/Itga5/Elmo1/Sema4a/Cish/Klhl41/Pid1/Anxa1/Ffar4/Gprc5b/Slc34a1/Cd36/Dhrs3/Ccr2/Pacsin1/Cnr2/Cd300lb/Pira6/Ctla4/Osbpl6/Ehd3/Il21r/Nod1/Cd200r1/Ccl9/Slfn1/Frmd5/Pde2a/Gm14137/Sh2d1b1/Ngfr/S100a4/Sptb/Ifi204/Zfp1/Trim40/Errfi1/Esr1/Sirpa/Slc44a4/Card6/Tmem64/Arhgef10/Cpt1a/Calcrl/Ank/Mid1/Rnf122/Dnph1/Extl3/Rasgef1b/Rgs13/Tdg/Gchfr/Ifitm2/Ncs1/Serpine2/Tfip11/Lima1/Bhlhe40/Zfp273/Sorl1/Ptpn14/Zfp74/Wee1/Serpinb9/Dhcr7/Creb3l2/Axl/Mex3d/Zfp281/Mios/Cyth3/Ppp4r2/Wls/Samd11/Rangrf/Tubb3/Stxbp6/Slc15a2/Myo1f/Hmox1/Upf1/Socs4/Ifitm3/Tpx2/Ahi1/Tapt1/Ccnb2/Pkib/Dffb/Ppih/Ttk/Hspa1a/Trpm2/Gpr35/Heatr1",113
