"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002246","BP","GO:0002246","wound healing involved in inflammatory response","3/37","11/28905",3.16312208626598e-07,0.000490600235579854,0.000324303253897165,"Ccr2/Clec10a/Hmox1",3
"GO:0090594","BP","GO:0090594","inflammatory response to wounding","3/37","31/28905",8.46640508605188e-06,0.00656569714423323,0.0043401466072708,"Ccr2/Clec10a/Hmox1",3
"GO:0002376","BP","GO:0002376","immune system process","13/37","2984/28905",4.81244833290425e-05,0.0231272883740597,0.015287915352631,"Cd209a/Hba-a1/Gprc5b/Ccr2/Cd300lb/Cd200r1/Ccl9/Clec4a1/Ifi204/Trim40/Slc15a2/Hmox1/Ccnb2",13
"GO:0002887","BP","GO:0002887","negative regulation of myeloid leukocyte mediated immunity","2/37","11/28905",8.70522941916034e-05,0.0231272883740597,0.015287915352631,"Ccr2/Hmox1",2
"GO:0006952","BP","GO:0006952","defense response","10/37","1892/28905",9.57660158659703e-05,0.0231272883740597,0.015287915352631,"Gprc5b/Ccr2/Clec10a/Cd200r1/Ccl9/Clec4a1/Ifi204/Trim40/Slc15a2/Hmox1",10
"GO:0006954","BP","GO:0006954","inflammatory response","7/37","867/28905",0.000100013986515485,0.0231272883740597,0.015287915352631,"Gprc5b/Ccr2/Clec10a/Cd200r1/Ccl9/Ifi204/Hmox1",7
"GO:0043301","BP","GO:0043301","negative regulation of leukocyte degranulation","2/37","12/28905",0.000104378477510263,0.0231272883740597,0.015287915352631,"Ccr2/Hmox1",2
"GO:0048468","BP","GO:0048468","cell development","13/37","3308/28905",0.000140204171092856,0.0271820836706275,0.0179682714005845,"Lmtk2/Hba-a1/Klhl41/Gprc5b/Ccr2/Pacsin1/Ccl9/Sptb/Ifi204/Arhgef10/Samd11/Rec8/Ahi1",13
"GO:0046548","BP","GO:0046548","retinal rod cell development","2/37","16/28905",0.000189167487454127,0.032421832522286,0.0214319215967332,"Samd11/Ahi1",2
"GO:0002682","BP","GO:0002682","regulation of immune system process","9/37","1680/28905",0.000209038249660129,0.032421832522286,0.0214319215967332,"Cd209a/Gprc5b/Ccr2/Cd300lb/Cd200r1/Ccl9/Ifi204/Slc15a2/Hmox1",9
"GO:0030036","BP","GO:0030036","actin cytoskeleton organization","6/37","731/28905",0.000305253906710339,0.0342712538487113,0.0226544512868742,"Klhl41/Pacsin1/Frmd5/Sptb/Arhgef10/Lima1",6
"GO:0006996","BP","GO:0006996","organelle organization","13/37","3584/28905",0.000314794625272986,0.0342712538487113,0.0226544512868742,"Klhl41/Pid1/Pacsin1/Frmd5/Sptb/Trappc10/Arhgef10/Fam174b/Lima1/Krt80/Rec8/Ahi1/Ccnb2",13
"GO:0046325","BP","GO:0046325","negative regulation of glucose import","2/37","21/28905",0.000329710610598424,0.0342712538487113,0.0226544512868742,"Pid1/Ahi1",2
"GO:0048856","BP","GO:0048856","anatomical structure development","18/37","6478/28905",0.000397891680764587,0.0342712538487113,0.0226544512868742,"Lmtk2/Hba-a1/Klhl41/Gprc5b/Ccr2/Pacsin1/Ccl9/Sptb/Ifi204/Errfi1/Arhgef10/Ank/Krt80/Samd11/Rec8/Hmox1/Ahi1/Ccnb2",18
"GO:0072676","BP","GO:0072676","lymphocyte migration","3/37","112/28905",0.000399731429652173,0.0342712538487113,0.0226544512868742,"Ccr2/Cd200r1/Ccl9",3
"GO:0051051","BP","GO:0051051","negative regulation of transport","5/37","497/28905",0.000407695451191982,0.0342712538487113,0.0226544512868742,"Pid1/Ccr2/Pacsin1/Hmox1/Ahi1",5
