"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048523","BP","GO:0048523","negative regulation of cellular process","17/37","5339/28905",0.00011877405184865,0.0664737412605906,0.0461597762404762,"Fcer1g/Bcl11a/Mag/Hsh2d/Rgs18/Itga5/Cish/Ffar4/Pira6/Sh2d1b1/Tmem64/Mid1/Rgs13/Tpx2/Ttk/Trpm2/Gpr35",17
"GO:0006828","BP","GO:0006828","manganese ion transport","2/37","13/28905",0.000123256872020788,0.0664737412605906,0.0461597762404762,"Slc41a2/Trpm2",2
"GO:0009987","BP","GO:0009987","cellular process","33/37","17623/28905",0.000149155739552559,0.0664737412605906,0.0461597762404762,"Fcer1g/Bcl11a/Rpgrip1/Ccl22/Ckb/Mag/Hsh2d/Mall/Rgs18/Itga5/Ggh/Cish/Ffar4/Rbm45/Haus8/Slc34a1/Pira6/Gm14137/Sh2d1b1/Slc44a4/Tmem64/Chaf1b/Mid1/Dnph1/Rgs13/Paqr7/Mrc1/Slc41a2/Sdcbp2/Tpx2/Ttk/Trpm2/Gpr35",33
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis","4/37","242/28905",0.000254761120042823,0.0851539043743136,0.0591313968099395,"Fcer1g/Ccl22/Trpm2/Gpr35",4
"GO:0048519","BP","GO:0048519","negative regulation of biological process","17/37","5817/28905",0.0003515233340801,0.0900754741029942,0.062548965207921,"Fcer1g/Bcl11a/Mag/Hsh2d/Rgs18/Itga5/Cish/Ffar4/Pira6/Sh2d1b1/Tmem64/Mid1/Rgs13/Tpx2/Ttk/Trpm2/Gpr35",17
"GO:0030316","BP","GO:0030316","osteoclast differentiation","3/37","139/28905",0.000750135294847888,0.0900754741029942,0.062548965207921,"Fcer1g/Pira6/Tmem64",3
"GO:0050896","BP","GO:0050896","response to stimulus","23/37","10222/28905",0.000802382362657229,0.0900754741029942,0.062548965207921,"Fcer1g/Rpgrip1/Ccl22/Mag/Hsh2d/Rgs18/Itga5/Ggh/Cish/Ffar4/Slc34a1/Gm14137/Sh2d1b1/Tpsb2/Tmem64/Chaf1b/Mid1/Rgs13/Paqr7/Mrc1/Ttk/Trpm2/Gpr35",23
"GO:0060326","BP","GO:0060326","cell chemotaxis","4/37","334/28905",0.000855948207149936,0.0900754741029942,0.062548965207921,"Fcer1g/Ccl22/Trpm2/Gpr35",4
"GO:0007026","BP","GO:0007026","negative regulation of microtubule depolymerization","2/37","37/28905",0.00103225532444001,0.0900754741029942,0.062548965207921,"Mid1/Tpx2",2
"GO:0031114","BP","GO:0031114","regulation of microtubule depolymerization","2/37","40/28905",0.00120603004633106,0.0900754741029942,0.062548965207921,"Mid1/Tpx2",2
"GO:0098768","BP","GO:0098768","meiotic prometaphase I","1/37","1/28905",0.00128005535374487,0.0900754741029942,0.062548965207921,"Ttk",1
"GO:1900409","BP","GO:1900409","positive regulation of cellular response to oxidative stress","1/37","1/28905",0.00128005535374487,0.0900754741029942,0.062548965207921,"Trpm2",1
"GO:1901684","BP","GO:1901684","arsenate ion transmembrane transport","1/37","1/28905",0.00128005535374487,0.0900754741029942,0.062548965207921,"Slc34a1",1
"GO:1903096","BP","GO:1903096","protein localization to meiotic spindle midzone","1/37","1/28905",0.00128005535374487,0.0900754741029942,0.062548965207921,"Ttk",1
"GO:1904799","BP","GO:1904799","regulation of neuron remodeling","1/37","1/28905",0.00128005535374487,0.0900754741029942,0.062548965207921,"Bcl11a",1
"GO:1904800","BP","GO:1904800","negative regulation of neuron remodeling","1/37","1/28905",0.00128005535374487,0.0900754741029942,0.062548965207921,"Bcl11a",1
"GO:1905359","BP","GO:1905359","protein localization to meiotic spindle","1/37","1/28905",0.00128005535374487,0.0900754741029942,0.062548965207921,"Ttk",1
