"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009987","BP","GO:0009987","cellular process","65/74","17623/28905",3.06271885880153e-07,0.000597040034253915,0.000413308350499814,"Lmtk2/Fcer1g/Bcl11a/Rpgrip1/Cd209a/Hba-a1/Ccl22/Ckb/Mag/Hsh2d/Mall/Rgs18/Itga5/Ggh/Cish/Klhl41/Pid1/Ffar4/Rbm45/Gprc5b/Haus8/Slc34a1/Ccr2/Pacsin1/Cd300lb/Pira6/Cd200r1/Ccl9/Frmd5/Gm14137/Sh2d1b1/Sptb/Ifi204/Trim40/Errfi1/Trappc10/Slc44a4/Tmem64/Chaf1b/Arhgef10/Ank/Mid1/Dnph1/Rgs13/Fam174b/Lima1/Zfp273/Zfp74/Krt80/Mex3d/Paqr7/Samd11/Mrc1/Slc41a2/Sdcbp2/Rec8/Slc15a2/Hmox1/Abcb9/Tpx2/Ahi1/Ccnb2/Ttk/Trpm2/Gpr35",65
"GO:0048523","BP","GO:0048523","negative regulation of cellular process","32/74","5339/28905",7.62572509050099e-07,0.000597040034253915,0.000413308350499814,"Fcer1g/Bcl11a/Mag/Hsh2d/Rgs18/Itga5/Cish/Pid1/Ffar4/Ccr2/Pacsin1/Pira6/Cd200r1/Ccl9/Frmd5/Sh2d1b1/Sptb/Ifi204/Trim40/Errfi1/Tmem64/Mid1/Rgs13/Lima1/Mex3d/Samd11/Hmox1/Tpx2/Ahi1/Ttk/Trpm2/Gpr35",32
"GO:0002376","BP","GO:0002376","immune system process","23/74","2984/28905",8.35410495691113e-07,0.000597040034253915,0.000413308350499814,"Fcer1g/Bcl11a/Cd209a/Hba-a1/Ccl22/Hsh2d/Gprc5b/Ccr2/Cd300lb/Pira6/Cd200r1/Ccl9/Sh2d1b1/Clec4a1/Ifi204/Trim40/Tmem64/Mrc1/Slc15a2/Hmox1/Ccnb2/Trpm2/Gpr35",23
"GO:0002246","BP","GO:0002246","wound healing involved in inflammatory response","3/74","11/28905",2.61873858464806e-06,0.00140364388137136,0.000971689843250991,"Ccr2/Clec10a/Hmox1",3
"GO:0048519","BP","GO:0048519","negative regulation of biological process","32/74","5817/28905",5.27422591455218e-06,0.00226158807215997,0.00156561232410917,"Fcer1g/Bcl11a/Mag/Hsh2d/Rgs18/Itga5/Cish/Pid1/Ffar4/Ccr2/Pacsin1/Pira6/Cd200r1/Ccl9/Frmd5/Sh2d1b1/Sptb/Ifi204/Trim40/Errfi1/Tmem64/Mid1/Rgs13/Lima1/Mex3d/Samd11/Hmox1/Tpx2/Ahi1/Ttk/Trpm2/Gpr35",32
"GO:0046548","BP","GO:0046548","retinal rod cell development","3/74","16/28905",8.8063427173664e-06,0.00314679979767226,0.00217841109324327,"Rpgrip1/Samd11/Ahi1",3
"GO:0006954","BP","GO:0006954","inflammatory response","11/74","867/28905",1.23816631929089e-05,0.00379232655508524,0.00262528497774459,"Fcer1g/Ccl22/Ffar4/Gprc5b/Ccr2/Clec10a/Cd200r1/Ccl9/Ifi204/Tpsb2/Hmox1",11
"GO:0006952","BP","GO:0006952","defense response","16/74","1892/28905",1.90128316717471e-05,0.00509543888802822,0.00352738061278466,"Fcer1g/Ccl22/Ffar4/Gprc5b/Ccr2/Clec10a/Cd200r1/Ccl9/Sh2d1b1/Clec4a1/Ifi204/Tpsb2/Trim40/Mrc1/Slc15a2/Hmox1",16
"GO:0007010","BP","GO:0007010","cytoskeleton organization","14/74","1489/28905",2.17162450909104e-05,0.00517329216387909,0.00358127550622031,"Klhl41/Haus8/Pacsin1/Frmd5/Gm14137/Sptb/Arhgef10/Mid1/Lima1/Krt80/Tpx2/Ccnb2/Trpm2/Gpr35",14
"GO:0070098","BP","GO:0070098","chemokine-mediated signaling pathway","4/74","70/28905",3.19275508012431e-05,0.00637694659151304,0.0044145201757823,"Ccl22/Ccr2/Ccl9/Gpr35",4
