"","logFC_limma","P.Value_limma","logFC_edgeR","FDR_edgeR","log2FoldChange_DESeq2","padj_DESeq2"
"Gpr137b-ps",5.66064295833352,1.11194110192328e-09,5.67779601267658,0,5.68380747618037,0
"Lmtk2",-4.31281069763814,2.12068216216345e-06,-4.32483049572899,5.12963050057494e-78,-4.32033514736323,6.03197257838242e-96
"Zfp868",-1.81331227333161,1.0736876515938e-07,-1.7515345611746,2.31849404639562e-57,-1.74655188876536,8.87773671220953e-69
"Ctse",-1.84283320125798,3.28302309324551e-07,-1.77336292238105,1.91821424514954e-49,-1.76814138564628,7.33923049684452e-62
"Gas7",0.608326939482216,1.26436092577639e-09,0.969300098210721,1.0141188911896e-05,0.974622713794925,1.34559239745721e-58
"Cd79a",-0.975925424927953,2.06911406123874e-09,-0.953760774338632,6.96325102205471e-07,-0.948515017823288,4.79305557513023e-55
"Fcer1g",3.81906803440868,1.28107873308654e-06,3.72739493394123,3.15273220955622e-39,3.73375018720416,1.56117939996499e-51
"Bcl11a",2.61699652625914,7.40319023707546e-07,2.61390098491846,5.80944249083688e-33,2.6192647607964,1.23859350818467e-42
"Ccnd2",0.720504743468766,8.53701358123581e-08,0.82335036942763,1.74145417181442e-06,0.828412696078404,4.7754284696755e-42
"Rpgrip1",2.64155793621652,2.10849008718932e-06,2.62580234607715,1.3362515988733e-26,2.63145258885142,3.46605898620723e-33
"Fcmr",-1.05679194970726,6.67846742262361e-07,-0.984325291565326,3.70169084857388e-15,-0.979170645501131,1.87511901127263e-31
"Cd209a",-4.07448385009032,0.000185541778550192,-4.18399662148696,1.73816870953738e-22,-4.18217621231947,2.77634410822131e-28
"Jun",1.54453220757772,2.12656674721022e-06,1.55160642654288,4.95576853894548e-26,1.55684351486697,3.88416614618264e-27
"Cyp4f18",0.766485811686449,4.97540157752006e-06,0.895961538176158,9.25681997464626e-08,0.901401215094729,8.39340451982995e-27
