"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0035455" "BP" "GO:0035455" "response to interferon-alpha" "8/387" "32/28564" 8.36285880055001e-09 3.15865176896774e-05 2.51149854294412e-05 "Ifi204/Ifitm2/Ifitm3/Ifitm6/Ifit1/Ifit3/Ifnar1/Axl" 8
"GO:0031349" "BP" "GO:0031349" "positive regulation of defense response" "24/387" "452/28564" 1.6799439326613e-08 3.17257411683087e-05 2.52256844204353e-05 "Gprc5b/Ccr2/Nod1/Pde2a/Ifi204/Slc15a2/Cd14/Lrrfip2/Alox5ap/Adam8/Lgr4/Tnfrsf1a/Clec7a/Lag3/Cdk19/Tlr4/Fcer1g/Cd36/Sh2d1b1/Esr1/Hspa1a/Mapkapk2/Osm/Scimp" 24
"GO:1903555" "BP" "GO:1903555" "regulation of tumor necrosis factor superfamily cytokine production" "15/387" "188/28564" 4.84826787742952e-08 6.10396925768377e-05 4.8533713173005e-05 "Ccr2/Nod1/Errfi1/Cd14/Lrrfip2/Adam8/Tnfrsf1a/Clec7a/Tlr4/Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2" 15
"GO:0071706" "BP" "GO:0071706" "tumor necrosis factor superfamily cytokine production" "15/387" "195/28564" 7.86490573687673e-08 7.42643724204586e-05 5.90488843876561e-05 "Ccr2/Nod1/Errfi1/Cd14/Lrrfip2/Adam8/Tnfrsf1a/Clec7a/Tlr4/Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2" 15
"GO:0007264" "BP" "GO:0007264" "small GTPase mediated signal transduction" "20/387" "428/28564" 1.93922397274454e-06 0.000813827660561792 0.000647088420378968 "Arhgef10/Rasgef1b/Cyth3/Hmox1/Itsn1/Rhebl1/Cyth2/Plekhg5/Shtn1/Rapgef4/Dok2/Lpar2/Dock6/Vav3/Elmo1/Ngfr/Rangrf/Gpr35/Eps8l1/Arl6" 20
"GO:1901214" "BP" "GO:1901214" "regulation of neuron death" "19/387" "405/28564" 3.30659031524417e-06 0.00105077986360233 0.000835493207044701 "Ddit4/Cd200r1/Sorl1/Hmox1/Itsn1/Nsmf/Thap11/Adam8/Tnfrsf1a/Tmem259/Gclc/Tlr4/Jun/Mag/Fcgr2b/Ngfr/Esr1/Axl/Trpm2" 19
"GO:0030595" "BP" "GO:0030595" "leukocyte chemotaxis" "14/387" "230/28564" 3.51329079967095e-06 0.00105077986360233 0.000835493207044701 "Ccr2/Cnr2/Ccl9/Ccl6/Ptk2/Adam8/Vav3/Dusp1/Fcer1g/Ccl22/Anxa1/Gpr35/Trpm2/Ccr6" 14
"GO:0061082" "BP" "GO:0061082" "myeloid leukocyte cytokine production" "8/387" "69/28564" 4.29532505527534e-06 0.00115881733812678 0.000921395667872222 "Gprc5b/Nod1/Hmox1/Tlr4/Fcer1g/Cd36/Axl/Mapkapk2" 8
"GO:0045089" "BP" "GO:0045089" "positive regulation of innate immune response" "16/387" "306/28564" 5.09308691770081e-06 0.00125005225401935 0.000993938124302833 "Nod1/Ifi204/Slc15a2/Cd14/Lrrfip2/Adam8/Lgr4/Clec7a/Lag3/Tlr4/Cd36/Sh2d1b1/Esr1/Hspa1a/Mapkapk2/Scimp" 16
"GO:0006909" "BP" "GO:0006909" "phagocytosis" "14/387" "240/28564" 5.74159553287841e-06 0.00125005225401935 0.000993938124302833 "Ccr2/Ptk2/Clec7a/Tlr4/Fcer1g/Pear1/Fcgr2b/Elmo1/Anxa1/Cd36/Sirpa/Axl/Il15ra/Il2rb" 14
"GO:0035457" "BP" "GO:0035457" "cellular response to interferon-alpha" "5/387" "20/28564" 5.83338704992915e-06 0.00125005225401935 0.000993938124302833 "Ifi204/Ifit1/Ifit3/Ifnar1/Axl" 5
"GO:0045088" "BP" "GO:0045088" "regulation of innate immune response" "18/387" "385/28564" 6.27258850831202e-06 0.00125005225401935 0.000993938124302833 "Nod1/Ifi204/Slc15a2/Cd14/Lrrfip2/Adam8/Lgr4/Clec7a/Lag3/Tlr4/Cd36/Sh2d1b1/Esr1/Serpinb9/Myo1f/Hspa1a/Mapkapk2/Scimp" 18
"GO:0097529" "BP" "GO:0097529" "myeloid leukocyte migration" "14/387" "242/28564" 6.31434218162589e-06 0.00125005225401935 0.000993938124302833 "Ccr2/Cd200r1/Ccl9/Ccl6/Ptk2/Adam8/Vav3/Dusp1/Fcer1g/Ccl22/Anxa1/Sirpa/Myo1f/Gpr35" 14
"GO:0002718" "BP" "GO:0002718" "regulation of cytokine production involved in immune response" "10/387" "127/28564" 9.511689181897e-06 0.00163298409272841 0.00129841383904077 "Gprc5b/Ccr2/Nod1/Hmox1/Tlr4/Fcer1g/Cd36/Axl/Mapkapk2/Scimp" 10
"GO:0002246" "BP" "GO:0002246" "wound healing involved in inflammatory response" "4/387" "11/28564" 1.01547775941667e-05 0.0016675910857899 0.00132593045657472 "Ccr2/Clec10a/Hmox1/Tlr4" 4
"GO:0002764" "BP" "GO:0002764" "immune response-regulating signaling pathway" "18/387" "402/28564" 1.12760771770469e-05 0.00172521817952754 0.00137175075350587 "Ctla4/Nod1/Slc15a2/Cd14/Lrrfip2/Lgr4/Vav3/Clec7a/Cacnb4/Tlr4/Fcer1g/Cd36/Sh2d1b1/Esr1/Hspa1a/Mapkapk2/Scimp/Nfatc2" 18
"GO:0002831" "BP" "GO:0002831" "regulation of response to biotic stimulus" "20/387" "485/28564" 1.23714144620749e-05 0.00179718586243296 0.00142897350041699 "Nod1/Ifi204/Slc15a2/Trib1/Cd14/Lrrfip2/Mapkbp1/Adam8/Lgr4/Clec7a/Lag3/Tlr4/Cd36/Sh2d1b1/Esr1/Serpinb9/Myo1f/Hspa1a/Mapkapk2/Scimp" 20
"GO:0042391" "BP" "GO:0042391" "regulation of membrane potential" "20/387" "488/28564" 1.35218886958474e-05 0.00189156198534132 0.00150401358476619 "Pid1/Cnr2/Ehd3/Rnf122/Slc4a11/Kctd7/Gabbr1/Shtn1/Rapgef4/Stox1/Kcnj5/Cacnb4/Gclc/Jun/Hsh2d/Slc34a1/Cd36/Ngfr/Rangrf/Gpr35" 20
"GO:0070997" "BP" "GO:0070997" "neuron death" "19/387" "461/28564" 2.05218884430809e-05 0.00258370575498389 0.00205434904309157 "Ddit4/Cd200r1/Sorl1/Hmox1/Itsn1/Nsmf/Thap11/Adam8/Tnfrsf1a/Tmem259/Gclc/Tlr4/Jun/Mag/Fcgr2b/Ngfr/Esr1/Axl/Trpm2" 19
"GO:0019221" "BP" "GO:0019221" "cytokine-mediated signaling pathway" "18/387" "429/28564" 2.67442526642271e-05 0.00288608692322245 0.00229477752935458 "Ccr2/Il21r/Ccl9/Ifitm2/Ccl6/Ifitm3/Ifitm6/Tnfrsf1a/Bbs2/Fcer1g/Ifnar1/Ccl22/Axl/Hspa1a/Gpr35/Il15ra/Osm/Il2rb" 18
"GO:0050766" "BP" "GO:0050766" "positive regulation of phagocytosis" "8/387" "91/28564" 3.37078746923354e-05 0.00326447801828079 0.00259564282043813 "Ptk2/Clec7a/Fcer1g/Fcgr2b/Cd36/Sirpa/Il15ra/Il2rb" 8
"GO:0035456" "BP" "GO:0035456" "response to interferon-beta" "7/387" "71/28564" 5.01017033894496e-05 0.00417723098289175 0.00332138845761469 "Ifi204/Ifitm2/Ifitm3/Ifitm6/Ifit1/Ifit3/Tgtp2" 7
"GO:0006195" "BP" "GO:0006195" "purine nucleotide catabolic process" "6/387" "49/28564" 5.08744043455177e-05 0.00417723098289175 0.00332138845761469 "Pde2a/Nudt15/Xdh/Nt5e/Nudt7/Dnph1" 6
