"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0006909" "BP" "GO:0006909" "phagocytosis" "11/204" "240/28564" 1.36980979567123e-06 0.00385464476501885 0.00312172442908233 "Fcer1g/Pear1/Fcgr2b/Anxa1/Cd36/Sirpa/Axl/Il15ra/Il2rb/Rab20/Slamf1" 11
"GO:0140014" "BP" "GO:0140014" "mitotic nuclear division" "11/204" "280/28564" 6.02800374211044e-06 0.00621895603108214 0.00503648666715028 "Esr1/Hspa1a/Nek2/Tpx2/Lcmt1/Cenpk/Ndc80/Spdl1/Pdxp/Kif11/Ttk" 11
"GO:0000070" "BP" "GO:0000070" "mitotic sister chromatid segregation" "9/204" "190/28564" 9.76127619460738e-06 0.00621895603108214 0.00503648666715028 "Hspa1a/Nek2/Tpx2/Lcmt1/Cenpk/Ndc80/Spdl1/Kif11/Ttk" 9
"GO:0000819" "BP" "GO:0000819" "sister chromatid segregation" "10/204" "243/28564" 1.07420315369039e-05 0.00621895603108214 0.00503648666715028 "Hspa1a/Nek2/Tpx2/Lcmt1/Cenpk/Ndc80/Cdc6/Spdl1/Kif11/Ttk" 10
"GO:0051784" "BP" "GO:0051784" "negative regulation of nuclear division" "6/204" "70/28564" 1.10500284845098e-05 0.00621895603108214 0.00503648666715028 "Esr1/Osm/Lcmt1/Ndc80/Spdl1/Ttk" 6
"GO:1902107" "BP" "GO:1902107" "positive regulation of leukocyte differentiation" "9/204" "211/28564" 2.24839848052506e-05 0.00790874165524691 0.00640497725044311 "Jun/Anxa1/Tmem64/Axl/Il15ra/Tnfsf9/Pik3r6/Zbtb46/Wnt10b" 9
"GO:1903708" "BP" "GO:1903708" "positive regulation of hemopoiesis" "9/204" "211/28564" 2.24839848052506e-05 0.00790874165524691 0.00640497725044311 "Jun/Anxa1/Tmem64/Axl/Il15ra/Tnfsf9/Pik3r6/Zbtb46/Wnt10b" 9
"GO:0000280" "BP" "GO:0000280" "nuclear division" "13/204" "456/28564" 2.69547819463215e-05 0.00842786182188318 0.00682539215365918 "Esr1/Hspa1a/Nek2/Tpx2/Osm/Lcmt1/Cenpk/Ndc80/Spdl1/Pdxp/Kif11/Ttk/Rad51ap1" 13
"GO:0032675" "BP" "GO:0032675" "regulation of interleukin-6 production" "8/204" "170/28564" 3.21518937239398e-05 0.00855893658297552 0.00693154442155464 "Fcer1g/Cd36/Sirpa/Cd300ld/Scimp/Mapkapk2/Tnfsf9/Slamf1" 8
"GO:0032649" "BP" "GO:0032649" "regulation of type II interferon production" "7/204" "125/28564" 3.34571081779427e-05 0.00855893658297552 0.00693154442155464 "Ifnar1/Sirpa/Axl/Sh2d1b1/Tnfsf9/Slc7a5/Slamf1" 7
