"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0035455" "BP" "GO:0035455" "response to interferon-alpha" "9/370" "32/28564" 2.00968276556443e-10 7.35141955643468e-07 5.80481000916715e-07 "Ifitm2/Ifitm3/Ifi204/Ifitm6/Ifit1/Ifit3/Ifnar1/Axl/Oas1a" 9
"GO:0035457" "BP" "GO:0035457" "cellular response to interferon-alpha" "6/370" "20/28564" 1.50837711076937e-07 0.000275882173559718 0.000217841410102693 "Ifi204/Ifit1/Ifit3/Ifnar1/Axl/Oas1a" 6
"GO:0032680" "BP" "GO:0032680" "regulation of tumor necrosis factor production" "13/370" "185/28564" 9.80020594189889e-07 0.00107442957735633 0.000848388466595426 "Nod1/Ccr2/Errfi1/Lrrfip2/Clec7a/Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2/Oas1a/Slamf1" 13
"GO:1903555" "BP" "GO:1903555" "regulation of tumor necrosis factor superfamily cytokine production" "13/370" "188/28564" 1.17488198726772e-06 0.00107442957735633 0.000848388466595426 "Nod1/Ccr2/Errfi1/Lrrfip2/Clec7a/Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2/Oas1a/Slamf1" 13
"GO:0032640" "BP" "GO:0032640" "tumor necrosis factor production" "13/370" "192/28564" 1.48808809438799e-06 0.00107889032557913 0.000851910751745025 "Nod1/Ccr2/Errfi1/Lrrfip2/Clec7a/Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2/Oas1a/Slamf1" 13
"GO:0071706" "BP" "GO:0071706" "tumor necrosis factor superfamily cytokine production" "13/370" "195/28564" 1.769639681103e-06 0.00107889032557913 0.000851910751745025 "Nod1/Ccr2/Errfi1/Lrrfip2/Clec7a/Fcer1g/Cd36/Sirpa/Axl/Cd300ld/Mapkapk2/Oas1a/Slamf1" 13
"GO:0030595" "BP" "GO:0030595" "leukocyte chemotaxis" "14/370" "230/28564" 2.08930752899332e-06 0.00109181242015108 0.000862114264595137 "Cnr2/Ccr2/Ccl9/Ccl6/Ptk2/Bst1/Fcer1g/Anxa1/Ccl22/Gpr35/Ccr6/Trpm2/Slamf1/Cxcr3" 14
"GO:0006909" "BP" "GO:0006909" "phagocytosis" "14/370" "240/28564" 3.43325562225142e-06 0.00131841043619062 0.00104104003824554 "Ccr2/Ptk2/Clec7a/Fcer1g/Pear1/Fcgr2b/Anxa1/Cd36/Sirpa/Axl/Il15ra/Il2rb/Rab20/Slamf1" 14
"GO:0035456" "BP" "GO:0035456" "response to interferon-beta" "8/370" "71/28564" 3.84039491807683e-06 0.00131841043619062 0.00104104003824554 "Ifitm2/Ifitm3/Ifi204/Ifitm6/Ifit1/Ifit3/Tgtp2/Oas1a" 8
"GO:0019221" "BP" "GO:0019221" "cytokine-mediated signaling pathway" "19/370" "429/28564" 3.96396229397908e-06 0.00131841043619062 0.00104104003824554 "Il21r/Ccr2/Ifitm2/Ccl9/Ccl6/Ifitm3/Ifitm6/Fcer1g/Ifnar1/Ccl22/Axl/Hspa1a/Il15ra/Gpr35/Il2rb/Osm/Oas1a/Ccrl2/Csf2rb2" 19
"GO:0000819" "BP" "GO:0000819" "sister chromatid segregation" "14/370" "243/28564" 3.96460218646715e-06 0.00131841043619062 0.00104104003824554 "Arhgef10/Cdca5/Ncaph/Rec8/Hspa1a/Nek2/Tpx2/Lcmt1/Cenpk/Ndc80/Cdc6/Spdl1/Kif11/Ttk" 14
"GO:0071674" "BP" "GO:0071674" "mononuclear cell migration" "12/370" "185/28564" 5.85403597371294e-06 0.00164723566091092 0.00130068621148731 "Ccr2/Ccl9/Ccl6/Cd200r1/Ptk2/Anxa1/Ccl22/Sirpa/Ccr6/Trpm2/Slamf1/Cxcr3" 12
"GO:0002718" "BP" "GO:0002718" "regulation of cytokine production involved in immune response" "10/370" "127/28564" 6.4317248126509e-06 0.00168051781176264 0.00132696638239955 "Gprc5b/Nod1/Ccr2/Hmox1/Fcer1g/Cd36/Axl/Scimp/Mapkapk2/Slamf1" 10
"GO:0002696" "BP" "GO:0002696" "positive regulation of leukocyte activation" "18/370" "408/28564" 7.4972636913239e-06 0.00175690359485844 0.00138728193844538 "Lgals8/Cd209a/Ccr2/Cd300lb/Clec7a/Bst1/Adk/Fcer1g/Anxa1/Sirpa/Axl/Il15ra/Nfatc2/Tnfsf9/Jund/Pik3r6/Slamf1/Wnt10b" 18
"GO:0031349" "BP" "GO:0031349" "positive regulation of defense response" "19/370" "452/28564" 8.33727096586182e-06 0.00179398454077191 0.00141656170466408 "Gprc5b/Pde2a/Nod1/Ccr2/Ifi204/Cdk19/Lrrfip2/Lag3/Clec7a/Slc15a2/Fcer1g/Cd36/Esr1/Sh2d1b1/Hspa1a/Scimp/Mapkapk2/Osm/Oas1a" 19
"GO:0000280" "BP" "GO:0000280" "nuclear division" "19/370" "456/28564" 9.43723711292538e-06 0.00191785629772672 0.00151437301975832 "Arhgef10/Cdca5/Ccnb2/Aurka/Ncaph/Rec8/Esr1/Hspa1a/Nek2/Tpx2/Osm/Lcmt1/Cenpk/Ndc80/Spdl1/Pdxp/Kif11/Ttk/Rad51ap1" 19
"GO:0098813" "BP" "GO:0098813" "nuclear chromosome segregation" "16/370" "338/28564" 1.01090968465638e-05 0.00194626717182792 0.00153680674498455 "Arhgef10/Cdca5/Ccnb2/Aurka/Ncaph/Rec8/Hspa1a/Nek2/Tpx2/Lcmt1/Cenpk/Ndc80/Cdc6/Spdl1/Kif11/Ttk" 16
"GO:0034341" "BP" "GO:0034341" "response to type II interferon" "10/370" "146/28564" 2.1909197399881e-05 0.00348451496038108 0.00275143421809032 "Ifitm2/Ccl9/Ccl6/Ifitm3/Ifitm6/Ccl22/Sirpa/Mrc1/Gbp8/Rab20" 10
"GO:0050766" "BP" "GO:0050766" "positive regulation of phagocytosis" "8/370" "91/28564" 2.45055130710245e-05 0.00373504861724199 0.0029492599941619 "Ptk2/Clec7a/Fcer1g/Fcgr2b/Cd36/Sirpa/Il15ra/Il2rb" 8
