GeneID,Chr,Start,End,annotation,pan_anno,y_anno,Strand
Mrpl15_1,chr1,4780069,4780468,3'UTR,3'UTR,3'UTR,.
Mrpl15_2,chr1,4785515,4785914,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Lypla1_3,chr1,4807595,4807994,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Tcea1_4,chr1,4857547,4857946,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Rgs20_5,chr1,4918666,4919065,Promoter(1-2kb),Promoter(1-2kb),Promoter(1-2kb),.
Rgs20_6,chr1,4926383,4926782,"Intron(XM_011238400.1/Rgs20,intron1of4)",1stIntron,1stIntron,.
Rb1cc1_7,chr1,6214513,6214912,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
4732440D04Rik_8,chr1,6282466,6282865,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm7417_9,chr1,6406386,6406785,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
St18_10,chr1,6658576,6658975,"Intron(NM_001244692.1/St18,intron2of23)",OtherIntron,OtherIntron,.
St18_11,chr1,6722273,6722672,"Intron(NM_001244692.1/St18,intron2of23)",OtherIntron,OtherIntron,.
Gm5694_12,chr1,7010217,7010616,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm5694_13,chr1,7036491,7036890,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Gm5694_14,chr1,7047184,7047583,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Pcmtd1_15,chr1,7077183,7077582,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Pcmtd1_16,chr1,7088651,7089050,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Pcmtd1_17,chr1,7111437,7111836,"Intron(XM_006495535.3/Pcmtd1,intron1of5)",1stIntron,1stIntron,.
Gm26983_18,chr1,7125989,7126388,"Intron(XM_006495535.3/Pcmtd1,intron1of5)",1stIntron,1stIntron,.
Gm9826_19,chr1,7165345,7165744,"Intron(XM_006495535.3/Pcmtd1,intron5of5)",OtherIntron,OtherIntron,.
Gm9826_20,chr1,7173928,7174327,Downstream(<=300bp),Downstream(<=300bp),Downstream(<=300),.
Nras-ps2_21,chr1,7206212,7206611,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
